item_id,year,month,seq,type,hs4,weight,quantity,value
DEWLVASR,2022,1,1,1,3038,14858,0,32688
ELQGMQWE,2022,1,1,1,2002,62195,0,110617
AHMDUILJ,2022,1,1,1,2102,18426,0,72766
XIPPENFQ,2022,1,1,1,2501,20426,0,11172
FTSVTTSR,2022,1,1,1,2529,248000,0,143004
XMKRPGLB,2022,1,1,1,2529,558000,0,205676
RCBZUSIM,2022,1,1,1,2805,0,0,459
SUOYXCHP,2022,1,1,1,2805,0,0,482
ZKENOUDA,2022,1,1,1,2805,2,0,2783
WQMVCOEM,2022,1,1,1,2805,187,0,217777
BSRMSVTC,2022,1,1,1,2805,111,0,33952
DDEXPPXU,2022,1,1,1,2807,387,0,13158
LLHREMKS,2022,1,1,1,2807,319,0,8705
DNMPSKTB,2022,1,1,1,2811,1748972,0,3961879
WPQXWHYO,2022,1,1,1,2811,2367757,0,4518277
VWMBASNE,2022,1,1,1,2811,94038,0,48737
RJGPVEXX,2022,1,1,1,2811,18029,0,256916
ATLDMDBO,2022,1,1,1,2814,68878617,0,60548596
SAHWCZNH,2022,1,1,1,2825,20305,0,505311
LUENUFGA,2022,1,1,1,2833,54965,0,271528
HXYSSRXE,2022,1,1,1,2836,5001891,0,2136993
QRKRBYJL,2022,1,1,1,2841,30205,0,1766040
FRHNWLNI,2022,1,1,1,2846,14696,0,529185
MBSBZBXA,2022,1,1,1,2846,186068,0,475070
BJALXPFS,2022,1,1,1,2847,4016,0,263351
RAWUKQMJ,2022,1,1,1,2916,108027,0,956479
ZGJXVMNI,2022,1,1,1,3006,17,0,4572
LRVGFDFM,2022,1,1,1,3102,50311676,0,49185609
BTMOEMEP,2022,1,1,1,3102,29575503,0,28495420
UXSPKBJR,2022,1,1,1,3206,1388,0,711457
BEZYMBBT,2022,1,1,1,3207,2807,0,2145030
SAAYMURU,2022,1,1,1,3215,384,0,4343
QJQJSWFU,2022,1,1,1,3307,9445,0,165976
EVBVXETX,2022,1,1,1,3404,357807,0,1644566
DUCMGGNW,2022,1,1,1,3806,247025,0,799493
OJIFIHMZ,2022,1,1,1,3815,2967,0,34642
STZDBITS,2022,1,1,1,3815,736003,0,9680987
SNHYOVBM,2022,1,1,1,3824,22559,0,1147185
LPHPPJUG,2022,1,1,1,3824,804346,0,373408
FCYBOAXC,2022,1,1,1,3824,10151602,0,31108561
JPBRUTWP,2022,1,1,1,3904,105588,0,2309575
LTOYKIML,2022,1,1,1,3909,72036,0,193512
QVLMOEYE,2022,1,1,1,4202,1397,2878,495863
JERHKLYW,2022,1,1,1,4601,75,0,930
ZXERAXWP,2022,1,1,1,4802,767,0,4125
LSOIUSXD,2022,1,1,1,5111,41,59,2926
XUOIQPFL,2022,1,1,1,5205,851260,0,3610061
WBLJNPZQ,2022,1,1,1,5309,5333,17928,247473
OXKURKXR,2022,1,1,1,5402,11561,0,112738
AXULOHBQ,2022,1,1,1,5515,171,266,877
DBWLZWNK,2022,1,1,1,5602,1457,0,20163
NZKBIBNU,2022,1,1,1,5609,3417,0,34656
OKMBFVKS,2022,1,1,1,5705,447381,234857,1193460
VUAFAIYJ,2022,1,1,1,6101,171,221,70633
CCLHWFWF,2022,1,1,1,6211,275629,833853,10046344
