leading_item_id,following_item_id,count,frequency
AANGBULD,KJNSOAHR,22,100.0
ZXERAXWP,DBWLZWNK,22,100.0
ZXERAXWP,CCLHWFWF,22,100.0
ZXERAXWP,UIFPPCLR,22,100.0
LLHREMKS,BLANHGYY,22,100.0
LLHREMKS,KAGJCHMR,22,100.0
LLHREMKS,FWUCPMMW,22,100.0
LLHREMKS,ZCELVYQU,22,100.0
KJNSOAHR,IGDVVKUD,22,100.0
KJNSOAHR,GKQIJYDH,22,100.0
KAGJCHMR,DDEXPPXU,22,100.0
KAGJCHMR,AANGBULD,22,100.0
LLHREMKS,ZXERAXWP,22,100.0
LLHREMKS,GKQIJYDH,22,100.0
LLHREMKS,ELQGMQWE,22,100.0
LLHREMKS,UGEQLMXM,22,100.0
LLHREMKS,LSOIUSXD,22,100.0
LLHREMKS,XIIEJNEE,22,100.0
KAGJCHMR,JSLXRQOK,22,100.0
KAGJCHMR,FQCLOEXA,22,100.0
KAGJCHMR,ZKENOUDA,22,100.0
KAGJCHMR,JERHKLYW,22,100.0
KAGJCHMR,RJGPVEXX,22,100.0
KAGJCHMR,FWUCPMMW,22,100.0
KAGJCHMR,GKQIJYDH,22,100.0
KAGJCHMR,LTOYKIML,22,100.0
LPHPPJUG,NZKBIBNU,22,100.0
LPHPPJUG,AXULOHBQ,22,100.0
LLHREMKS,VBYCLTYZ,22,100.0
LLHREMKS,STZDBITS,22,100.0
LLHREMKS,AANGBULD,22,100.0
LLHREMKS,MBSBZBXA,22,100.0
APQGTRMF,ATLDMDBO,22,100.0
APQGTRMF,GYHKIVQT,22,100.0
APQGTRMF,WHPUAOID,22,100.0
APQGTRMF,JPBRUTWP,22,100.0
APQGTRMF,OKMBFVKS,22,100.0
APQGTRMF,RCBZUSIM,22,100.0
ATLDMDBO,QRKRBYJL,22,100.0
ATLDMDBO,DNMPSKTB,22,100.0
APQGTRMF,DUCMGGNW,22,100.0
APQGTRMF,HXYSSRXE,22,100.0
APQGTRMF,OXKURKXR,22,100.0
APQGTRMF,UIFPPCLR,22,100.0
APQGTRMF,QRKRBYJL,22,100.0
APQGTRMF,QVLMOEYE,22,100.0
APQGTRMF,DNMPSKTB,22,100.0
APQGTRMF,OGAFEHLU,22,100.0
APQGTRMF,DJBLNPNC,22,100.0
APQGTRMF,VMAQSTJE,22,100.0
APQGTRMF,BTMOEMEP,22,100.0
APQGTRMF,BEZYMBBT,22,100.0
APQGTRMF,RAWUKQMJ,22,100.0
ZKENOUDA,XIIEJNEE,22,100.0
ZKENOUDA,XUOIQPFL,22,100.0
ZKENOUDA,ZGJXVMNI,22,100.0
ZKENOUDA,ZXERAXWP,22,100.0
ZKENOUDA,DEWLVASR,22,100.0
ZKENOUDA,AANGBULD,22,100.0
APQGTRMF,WBLJNPZQ,22,100.0
ZGJXVMNI,SAHWCZNH,22,100.0
ZGJXVMNI,NZKBIBNU,22,100.0
ZGJXVMNI,ZKENOUDA,22,100.0
ZGJXVMNI,DEWLVASR,22,100.0
ZGJXVMNI,EVBVXETX,22,100.0
ZGJXVMNI,AANGBULD,22,100.0
ZGJXVMNI,RJGPVEXX,22,100.0
ZGJXVMNI,JSLXRQOK,22,100.0
ZGJXVMNI,WBLJNPZQ,22,100.0
ZGJXVMNI,VUAFAIYJ,22,100.0
ZGJXVMNI,DNMPSKTB,22,100.0
ZGJXVMNI,SDWAYPIK,22,100.0
ZGJXVMNI,XUOIQPFL,22,100.0
ZGJXVMNI,FQCLOEXA,22,100.0
ZGJXVMNI,UGEQLMXM,22,100.0
APQGTRMF,ZGJXVMNI,22,100.0
ZGJXVMNI,NAQIHUKZ,22,100.0
ZGJXVMNI,DDEXPPXU,22,100.0
ZGJXVMNI,LPHPPJUG,22,100.0
ZGJXVMNI,RAWUKQMJ,22,100.0
ZGJXVMNI,WPQXWHYO,22,100.0
ATLDMDBO,QVLMOEYE,22,100.0
ATLDMDBO,GYHKIVQT,22,100.0
ATLDMDBO,VBYCLTYZ,22,100.0
ATLDMDBO,BTMOEMEP,22,100.0
APQGTRMF,BSRMSVTC,22,100.0
APQGTRMF,FDXPMYGF,22,100.0
ZCELVYQU,FWUCPMMW,22,100.0
ZCELVYQU,ZXERAXWP,22,100.0
ZCELVYQU,ELQGMQWE,22,100.0
YSYHGLQK,LPHPPJUG,22,100.0
ATLDMDBO,OXKURKXR,22,100.0
ATLDMDBO,LRVGFDFM,22,100.0
ATLDMDBO,XUOIQPFL,22,100.0
ATLDMDBO,RCBZUSIM,22,100.0
ZCELVYQU,UGEQLMXM,22,100.0
ZCELVYQU,LSOIUSXD,22,100.0
ZCELVYQU,BLANHGYY,22,100.0
ATLDMDBO,APQGTRMF,22,100.0
ATLDMDBO,UXSPKBJR,22,100.0
ATLDMDBO,OGAFEHLU,22,100.0
ATLDMDBO,OKMBFVKS,22,100.0
ATLDMDBO,AXULOHBQ,22,100.0
ATLDMDBO,SDWAYPIK,22,100.0
ATLDMDBO,RAWUKQMJ,22,100.0
ATLDMDBO,JPBRUTWP,22,100.0
ATLDMDBO,BJALXPFS,22,100.0
ATLDMDBO,FDXPMYGF,22,100.0
ATLDMDBO,UGEQLMXM,22,100.0
ATLDMDBO,HXYSSRXE,22,100.0
ATLDMDBO,DBWLZWNK,22,100.0
ATLDMDBO,IGDVVKUD,22,100.0
XUOIQPFL,UIFPPCLR,22,100.0
XUOIQPFL,ZGJXVMNI,22,100.0
XUOIQPFL,BEZYMBBT,22,100.0
XUOIQPFL,XIIEJNEE,22,100.0
XUOIQPFL,OKMBFVKS,22,100.0
XUOIQPFL,IGDVVKUD,22,100.0
XUOIQPFL,DJBLNPNC,22,100.0
XUOIQPFL,VWMBASNE,22,100.0
AXULOHBQ,SAHWCZNH,22,100.0
AXULOHBQ,BSRMSVTC,22,100.0
AXULOHBQ,FDXPMYGF,22,100.0
AXULOHBQ,PYZMVUWD,22,100.0
AXULOHBQ,OGAFEHLU,22,100.0
AXULOHBQ,RJGPVEXX,22,100.0
AXULOHBQ,XIFHSOWQ,22,100.0
XUOIQPFL,BTMOEMEP,22,100.0
AXULOHBQ,VMAQSTJE,22,100.0
AXULOHBQ,EVBVXETX,22,100.0
AXULOHBQ,WPQXWHYO,22,100.0
AXULOHBQ,BJALXPFS,22,100.0
AXULOHBQ,FQCLOEXA,22,100.0
AXULOHBQ,LUENUFGA,22,100.0
AXULOHBQ,KEUWZRKO,22,100.0
YSYHGLQK,HCDTGMST,22,100.0
XUOIQPFL,LPHPPJUG,22,100.0
AXULOHBQ,UXSPKBJR,22,100.0
AXULOHBQ,DNMPSKTB,22,100.0
AXULOHBQ,XUOIQPFL,22,100.0
AXULOHBQ,NZKBIBNU,22,100.0
BEZYMBBT,HXYSSRXE,22,100.0
XMKRPGLB,SNHYOVBM,22,100.0
XMKRPGLB,BSRMSVTC,22,100.0
BJALXPFS,DNMPSKTB,22,100.0
BJALXPFS,QRKRBYJL,22,100.0
BJALXPFS,SDWAYPIK,22,100.0
BEZYMBBT,RJGPVEXX,22,100.0
BEZYMBBT,WBLJNPZQ,22,100.0
BEZYMBBT,ELQGMQWE,22,100.0
BEZYMBBT,GYHKIVQT,22,100.0
BEZYMBBT,DBWLZWNK,22,100.0
BEZYMBBT,RAWUKQMJ,22,100.0
BEZYMBBT,OKMBFVKS,22,100.0
XUOIQPFL,QVLMOEYE,22,100.0
XUOIQPFL,SDWAYPIK,22,100.0
XUOIQPFL,OGAFEHLU,22,100.0
XUOIQPFL,UGEQLMXM,22,100.0
XUOIQPFL,DNMPSKTB,22,100.0
XUOIQPFL,LRVGFDFM,22,100.0
XUOIQPFL,QRKRBYJL,22,100.0
XUOIQPFL,ATLDMDBO,22,100.0
XUOIQPFL,UXSPKBJR,22,100.0
XUOIQPFL,VBYCLTYZ,22,100.0
XUOIQPFL,OXKURKXR,22,100.0
XUOIQPFL,DBWLZWNK,22,100.0
XUOIQPFL,JPBRUTWP,22,100.0
XUOIQPFL,GYHKIVQT,22,100.0
XUOIQPFL,RAWUKQMJ,22,100.0
XUOIQPFL,APQGTRMF,22,100.0
XIIEJNEE,RCBZUSIM,22,100.0
XIIEJNEE,OKMBFVKS,22,100.0
XIIEJNEE,SNHYOVBM,22,100.0
XIIEJNEE,QRKRBYJL,22,100.0
XIIEJNEE,ATLDMDBO,22,100.0
XIIEJNEE,UXSPKBJR,22,100.0
