leading_item_id,following_item_id
AANGBULD,APQGTRMF
AANGBULD,DEWLVASR
AANGBULD,FTSVTTSR
AANGBULD,GKQIJYDH
AANGBULD,KJNSOAHR
AANGBULD,LLHREMKS
AANGBULD,NAQIHUKZ
AANGBULD,VUAFAIYJ
AANGBULD,ZCELVYQU
AANGBULD,ZKENOUDA
AHMDUILJ,ATLDMDBO
AHMDUILJ,BUZIIBYG
AHMDUILJ,DUCMGGNW
AHMDUILJ,RAWUKQMJ
AHMDUILJ,UXSPKBJR
AHMDUILJ,WPQXWHYO
AHMDUILJ,XIIEJNEE
AHMDUILJ,YSYHGLQK
APQGTRMF,ATLDMDBO
APQGTRMF,BEZYMBBT
APQGTRMF,BSRMSVTC
APQGTRMF,BTMOEMEP
APQGTRMF,DJBLNPNC
APQGTRMF,DNMPSKTB
APQGTRMF,DUCMGGNW
APQGTRMF,FDXPMYGF
APQGTRMF,GYHKIVQT
APQGTRMF,HXYSSRXE
APQGTRMF,JPBRUTWP
APQGTRMF,OGAFEHLU
APQGTRMF,OKMBFVKS
APQGTRMF,OXKURKXR
APQGTRMF,QRKRBYJL
APQGTRMF,QVLMOEYE
APQGTRMF,RAWUKQMJ
APQGTRMF,RCBZUSIM
APQGTRMF,UIFPPCLR
APQGTRMF,VMAQSTJE
APQGTRMF,WBLJNPZQ
APQGTRMF,WHPUAOID
APQGTRMF,ZGJXVMNI
ATLDMDBO,APQGTRMF
ATLDMDBO,AXULOHBQ
ATLDMDBO,BJALXPFS
ATLDMDBO,BTMOEMEP
ATLDMDBO,DBWLZWNK
ATLDMDBO,DNMPSKTB
ATLDMDBO,FDXPMYGF
ATLDMDBO,GYHKIVQT
ATLDMDBO,HXYSSRXE
ATLDMDBO,IGDVVKUD
ATLDMDBO,JPBRUTWP
ATLDMDBO,LRVGFDFM
ATLDMDBO,OGAFEHLU
ATLDMDBO,OKMBFVKS
ATLDMDBO,OXKURKXR
ATLDMDBO,QRKRBYJL
ATLDMDBO,QVLMOEYE
