leading_item_id,following_item_id,best_lag,max_corr
AANGBULD,APQGTRMF,8,-0.48011453063924403
AANGBULD,DDEXPPXU,2,0.383169040128806
AANGBULD,DEWLVASR,6,0.6402209326501292
AANGBULD,ELQGMQWE,8,0.4749394649568398
AANGBULD,FTSVTTSR,3,0.5314002507963714
AANGBULD,GKQIJYDH,6,0.5825012836736417
AANGBULD,GYHKIVQT,8,-0.504037332573793
AANGBULD,KJNSOAHR,9,0.5756364347553402
AANGBULD,LLHREMKS,5,0.4997339110628157
AANGBULD,LTOYKIML,1,0.38076447619553755
AANGBULD,NAQIHUKZ,2,0.5254899212149458
AANGBULD,OKMBFVKS,8,-0.5615608802561464
AANGBULD,OXKURKXR,1,-0.39461238338195426
AANGBULD,QVLMOEYE,9,-0.5491970857044147
AANGBULD,UQYUIVVR,1,0.3507951617702082
AANGBULD,VUAFAIYJ,2,0.509967566586131
AANGBULD,XIIEJNEE,7,0.5266017820984805
AANGBULD,ZCELVYQU,7,0.6777014019729387
AANGBULD,ZKENOUDA,1,0.5999690192401783
AANGBULD,ZXERAXWP,8,0.5533734792986332
AHMDUILJ,APQGTRMF,6,0.41973271063223805
AHMDUILJ,ATLDMDBO,4,0.4832809795674767
AHMDUILJ,BSRMSVTC,1,-0.38971655746845046
AHMDUILJ,BUZIIBYG,7,0.4440227153234995
AHMDUILJ,DUCMGGNW,1,0.4509547739353878
AHMDUILJ,HXYSSRXE,5,0.3931000141045617
AHMDUILJ,JERHKLYW,1,-0.3682007030171
AHMDUILJ,KAGJCHMR,8,-0.567889443412262
AHMDUILJ,QRKRBYJL,5,0.4405493562761983
AHMDUILJ,RAWUKQMJ,4,0.41037868233376956
AHMDUILJ,UXSPKBJR,4,0.5229081894352552
AHMDUILJ,WPQXWHYO,4,0.4170318717629925
AHMDUILJ,XIIEJNEE,2,0.41029354151346964
AHMDUILJ,YSYHGLQK,8,-0.4305085500876101
APQGTRMF,AANGBULD,7,-0.4624160050357261
APQGTRMF,ATLDMDBO,3,0.5319991146565786
APQGTRMF,BEZYMBBT,1,0.4548434441808289
APQGTRMF,BSRMSVTC,6,0.4427123473516348
APQGTRMF,BTMOEMEP,2,0.47065854468504953
APQGTRMF,DBWLZWNK,6,0.4915589820118644
APQGTRMF,DEWLVASR,1,-0.39200922477901806
APQGTRMF,DJBLNPNC,1,0.40300249068874333
APQGTRMF,DNMPSKTB,6,0.5645994536178268
APQGTRMF,DUCMGGNW,6,0.5142571127850889
APQGTRMF,FDXPMYGF,5,0.4146452016837507
APQGTRMF,GYHKIVQT,1,0.4777838432849823
APQGTRMF,HXYSSRXE,6,0.5153133030510014
APQGTRMF,JPBRUTWP,1,0.47496101732477203
APQGTRMF,OGAFEHLU,4,0.43526117260107156
APQGTRMF,OKMBFVKS,1,0.5370523492152125
APQGTRMF,OXKURKXR,2,0.42811054826345835
APQGTRMF,QRKRBYJL,1,0.4904162523292622
APQGTRMF,QVLMOEYE,1,0.5022604683019747
APQGTRMF,RAWUKQMJ,4,0.49254942799728635
APQGTRMF,RCBZUSIM,2,0.5299050267321673
APQGTRMF,ROACSLMG,7,-0.375558419412532
APQGTRMF,SDWAYPIK,4,0.4219027196206926
APQGTRMF,UIFPPCLR,1,0.5080676592465878
APQGTRMF,VMAQSTJE,8,0.5368054162624862
APQGTRMF,WBLJNPZQ,5,0.4852115231644206
APQGTRMF,WHPUAOID,3,0.523936264550737
APQGTRMF,XUOIQPFL,3,0.4334917668122407
APQGTRMF,YSYHGLQK,2,-0.4493284890681285
APQGTRMF,ZGJXVMNI,9,-0.46281474961121516
ATLDMDBO,APQGTRMF,5,0.5085891388701113
ATLDMDBO,AXULOHBQ,7,0.7500888287720342
ATLDMDBO,BEZYMBBT,2,0.38172653398714596
ATLDMDBO,BJALXPFS,9,0.454705444155492
ATLDMDBO,BLANHGYY,3,0.3958737658331067
ATLDMDBO,BTMOEMEP,1,0.6645738300117706
ATLDMDBO,DBWLZWNK,3,0.5372330041760305
ATLDMDBO,DEWLVASR,8,-0.47786834893160074
ATLDMDBO,DJBLNPNC,1,0.31368286109153926
ATLDMDBO,DNMPSKTB,8,0.7791258030288111
ATLDMDBO,EVBVXETX,9,-0.4728455801112939
ATLDMDBO,FDXPMYGF,7,0.43340550239325876
ATLDMDBO,FQCLOEXA,8,-0.5862328599111964
ATLDMDBO,GYHKIVQT,7,0.7591249324689091
ATLDMDBO,HXYSSRXE,4,0.604769123514605
ATLDMDBO,IGDVVKUD,2,0.4750208665788739
ATLDMDBO,JPBRUTWP,5,0.658207393156338
ATLDMDBO,LPHPPJUG,6,-0.5980423142124411
ATLDMDBO,LRVGFDFM,1,0.5657641728717883
ATLDMDBO,OGAFEHLU,9,0.5311054665769509
ATLDMDBO,OKMBFVKS,1,0.4129906274296136
ATLDMDBO,OXKURKXR,2,0.554515091383817
ATLDMDBO,QRKRBYJL,1,0.8177117394118009
ATLDMDBO,QVLMOEYE,3,0.7036817058682101
ATLDMDBO,RAWUKQMJ,4,0.6412137529937184
ATLDMDBO,RCBZUSIM,1,0.5146829328084076
ATLDMDBO,SDWAYPIK,3,0.6472855522465497
ATLDMDBO,UGEQLMXM,6,0.5693652932925151
ATLDMDBO,UIFPPCLR,1,0.3755678697592682
ATLDMDBO,UXSPKBJR,2,0.4095829109383602
