leading_item_id,following_item_id,value
AANGBULD,APQGTRMF,29577
AANGBULD,DEWLVASR,363104
AANGBULD,DNMPSKTB,4708833
AANGBULD,ELQGMQWE,518069
AANGBULD,EVBVXETX,5226080
AANGBULD,FTSVTTSR,217467
AANGBULD,GKQIJYDH,9396616
AANGBULD,GYHKIVQT,18080389
AANGBULD,KJNSOAHR,11139021
AANGBULD,LLHREMKS,65365
AANGBULD,NAQIHUKZ,21373
AANGBULD,OKMBFVKS,1679975
AANGBULD,OXKURKXR,110268
AANGBULD,QVLMOEYE,1126403
AANGBULD,SDWAYPIK,7147474
AANGBULD,UIFPPCLR,74888
AANGBULD,VUAFAIYJ,768892
AANGBULD,XIIEJNEE,97399
AANGBULD,ZCELVYQU,145965
AANGBULD,ZKENOUDA,340998
AANGBULD,ZXERAXWP,39783
AHMDUILJ,APQGTRMF,22758
AHMDUILJ,ATLDMDBO,40925067
AHMDUILJ,BUZIIBYG,16500924
AHMDUILJ,DUCMGGNW,842788
AHMDUILJ,KAGJCHMR,21051
AHMDUILJ,LRVGFDFM,13497140
AHMDUILJ,QRKRBYJL,3404402
AHMDUILJ,QVLMOEYE,1122638
AHMDUILJ,RAWUKQMJ,4003784
AHMDUILJ,UXSPKBJR,405272
AHMDUILJ,WPQXWHYO,12011838
AHMDUILJ,XIIEJNEE,99737
AHMDUILJ,YSYHGLQK,21051
APQGTRMF,AANGBULD,341557
APQGTRMF,ATLDMDBO,40869920
APQGTRMF,AXULOHBQ,91701
APQGTRMF,BEZYMBBT,3803011
APQGTRMF,BSRMSVTC,334749
APQGTRMF,BTMOEMEP,7826510
APQGTRMF,DBWLZWNK,193263
APQGTRMF,DJBLNPNC,22655
APQGTRMF,DNMPSKTB,4497620
APQGTRMF,DUCMGGNW,853055
APQGTRMF,FDXPMYGF,25482
APQGTRMF,GYHKIVQT,16267512
APQGTRMF,HXYSSRXE,5023916
APQGTRMF,JPBRUTWP,5845113
APQGTRMF,KEUWZRKO,369600
APQGTRMF,LPHPPJUG,1165830
APQGTRMF,OGAFEHLU,29853
APQGTRMF,OKMBFVKS,1669159
APQGTRMF,OXKURKXR,106005
APQGTRMF,QKXNTIIB,2677827
APQGTRMF,QRKRBYJL,3441718
APQGTRMF,QVLMOEYE,1118733
APQGTRMF,RAWUKQMJ,4020299
APQGTRMF,RCBZUSIM,22655
APQGTRMF,SAHWCZNH,2633767
APQGTRMF,SDWAYPIK,7307316
APQGTRMF,UIFPPCLR,65738
APQGTRMF,VMAQSTJE,59394
APQGTRMF,WBLJNPZQ,161724
APQGTRMF,WHPUAOID,22655
APQGTRMF,XUOIQPFL,3124995
APQGTRMF,YSYHGLQK,21019
APQGTRMF,ZGJXVMNI,2960884
ATLDMDBO,APQGTRMF,17034
ATLDMDBO,AXULOHBQ,84430
ATLDMDBO,BJALXPFS,102520
ATLDMDBO,BTMOEMEP,9322834
ATLDMDBO,DBWLZWNK,182549
ATLDMDBO,DEWLVASR,345017
ATLDMDBO,DNMPSKTB,4171540
ATLDMDBO,EVBVXETX,5204727
ATLDMDBO,FDXPMYGF,15327
ATLDMDBO,FQCLOEXA,1972378
ATLDMDBO,GYHKIVQT,20466852
ATLDMDBO,HXYSSRXE,5080333
ATLDMDBO,IGDVVKUD,11385
ATLDMDBO,JPBRUTWP,5482928
ATLDMDBO,KEUWZRKO,331568
ATLDMDBO,LPHPPJUG,1131773
ATLDMDBO,LRVGFDFM,15835313
ATLDMDBO,OGAFEHLU,1818
ATLDMDBO,OKMBFVKS,1649887
ATLDMDBO,OXKURKXR,98028
ATLDMDBO,QRKRBYJL,2884569
ATLDMDBO,QVLMOEYE,1088887
ATLDMDBO,RAWUKQMJ,4079486
ATLDMDBO,RCBZUSIM,11385
ATLDMDBO,SDWAYPIK,6196086
ATLDMDBO,UGEQLMXM,202103
ATLDMDBO,UXSPKBJR,381134
ATLDMDBO,VBYCLTYZ,326122
ATLDMDBO,VMAQSTJE,53670
ATLDMDBO,WBLJNPZQ,134898
ATLDMDBO,WPQXWHYO,13315193
ATLDMDBO,XUOIQPFL,2602427
ATLDMDBO,ZGJXVMNI,2888795
ATLDMDBO,ZKENOUDA,313188
AXULOHBQ,ATLDMDBO,40912272
AXULOHBQ,BJALXPFS,129448
AXULOHBQ,BSRMSVTC,328722
AXULOHBQ,DNMPSKTB,4587748
AXULOHBQ,EVBVXETX,5205358
AXULOHBQ,FDXPMYGF,17109
AXULOHBQ,FQCLOEXA,1939018
AXULOHBQ,HCDTGMST,94232
AXULOHBQ,HXYSSRXE,5116495
AXULOHBQ,KEUWZRKO,381070
AXULOHBQ,LPHPPJUG,1175158
AXULOHBQ,LUENUFGA,4736601
AXULOHBQ,NZKBIBNU,216305
AXULOHBQ,OGAFEHLU,31726
AXULOHBQ,PYZMVUWD,19936
AXULOHBQ,QJQJSWFU,132667
AXULOHBQ,RJGPVEXX,527944
AXULOHBQ,SAHWCZNH,2653625
AXULOHBQ,UXSPKBJR,400078
AXULOHBQ,VMAQSTJE,58279
AXULOHBQ,VUAFAIYJ,766573
AXULOHBQ,VWMBASNE,100095
AXULOHBQ,WBLJNPZQ,164211
AXULOHBQ,WPQXWHYO,11877195
AXULOHBQ,XIFHSOWQ,87119
AXULOHBQ,XUOIQPFL,3108479
AXULOHBQ,ZGJXVMNI,2969021
BEZYMBBT,APQGTRMF,38094
BEZYMBBT,ATLDMDBO,40903150
BEZYMBBT,DBWLZWNK,207310
BEZYMBBT,ELQGMQWE,554316
BEZYMBBT,FQCLOEXA,2012500
BEZYMBBT,GYHKIVQT,18509683
BEZYMBBT,HXYSSRXE,4950616
BEZYMBBT,JPBRUTWP,5554679
BEZYMBBT,KEUWZRKO,384977
BEZYMBBT,KJNSOAHR,11348371
BEZYMBBT,LPHPPJUG,1197994
BEZYMBBT,OKMBFVKS,1709761
BEZYMBBT,QRKRBYJL,2875476
BEZYMBBT,RAWUKQMJ,4092199
BEZYMBBT,RCBZUSIM,38099
BEZYMBBT,RJGPVEXX,515184
BEZYMBBT,SDWAYPIK,6909962
BEZYMBBT,WBLJNPZQ,179291
BEZYMBBT,XMKRPGLB,976653
BEZYMBBT,ZKENOUDA,357581
BJALXPFS,AXULOHBQ,91701
BJALXPFS,DNMPSKTB,4587748
BJALXPFS,EVBVXETX,5202790
BJALXPFS,FITUEHWN,92570
BJALXPFS,GYHKIVQT,16805816
BJALXPFS,KEUWZRKO,375645
BJALXPFS,OGAFEHLU,26246
BJALXPFS,QRKRBYJL,3425202
BJALXPFS,QVLMOEYE,1123443
BJALXPFS,RCBZUSIM,18063
BJALXPFS,RJGPVEXX,520037
BJALXPFS,SDWAYPIK,7311867
BJALXPFS,SNHYOVBM,407107
BJALXPFS,UGEQLMXM,237826
BJALXPFS,UIFPPCLR,70624
BJALXPFS,VMAQSTJE,56406
BJALXPFS,VWMBASNE,94614
BLANHGYY,AXULOHBQ,86815
BLANHGYY,BJALXPFS,126880
BLANHGYY,BSRMSVTC,328042
BLANHGYY,DNMPSKTB,4497620
BLANHGYY,EVBVXETX,5259337
BLANHGYY,FDXPMYGF,17109
BLANHGYY,FITUEHWN,91454
BLANHGYY,FQCLOEXA,1943784
BLANHGYY,HCDTGMST,94232
BLANHGYY,HXYSSRXE,5176875
BLANHGYY,JBVHSUWY,368014
BLANHGYY,JPBRUTWP,5744485
BLANHGYY,KEUWZRKO,374918
BLANHGYY,LPHPPJUG,1175158
BLANHGYY,LRVGFDFM,13725136
BLANHGYY,LUENUFGA,4736601
BLANHGYY,OGAFEHLU,31726
BLANHGYY,PYZMVUWD,17109
BLANHGYY,RJGPVEXX,523455
BLANHGYY,SAHWCZNH,2691555
BLANHGYY,STZDBITS,33152615
BLANHGYY,SUOYXCHP,17109
BLANHGYY,TGOELCAG,210961
BLANHGYY,UIFPPCLR,70624
BLANHGYY,UQYUIVVR,4186532
BLANHGYY,VMAQSTJE,58279
BLANHGYY,VWMBASNE,100095
BLANHGYY,WBLJNPZQ,164804
BLANHGYY,WPQXWHYO,11956056
BLANHGYY,WQMVCOEM,84586
BLANHGYY,XIFHSOWQ,90280
BLANHGYY,XUOIQPFL,3153365
BSRMSVTC,BEZYMBBT,3643831
BSRMSVTC,EVBVXETX,5172307
BSRMSVTC,FITUEHWN,94981
BSRMSVTC,HCDTGMST,97758
BSRMSVTC,JBVHSUWY,365904
BSRMSVTC,JPBRUTWP,5567169
BSRMSVTC,KEUWZRKO,370512
BSRMSVTC,LSOIUSXD,277066
BSRMSVTC,LUENUFGA,4301460
BSRMSVTC,OGAFEHLU,25039
BSRMSVTC,PYZMVUWD,24407
BSRMSVTC,RJGPVEXX,522828
BSRMSVTC,ROACSLMG,2043928
BSRMSVTC,STZDBITS,32093751
BSRMSVTC,TGOELCAG,216920
BSRMSVTC,UIFPPCLR,80154
BSRMSVTC,VMAQSTJE,62750
BSRMSVTC,VWMBASNE,96235
BSRMSVTC,WPQXWHYO,11924256
BSRMSVTC,XIFHSOWQ,94264
BSRMSVTC,XIPPENFQ,113074
BSRMSVTC,XUOIQPFL,2680651
BTMOEMEP,APQGTRMF,17787
BTMOEMEP,ATLDMDBO,42878821
BTMOEMEP,AXULOHBQ,84068
BTMOEMEP,BEZYMBBT,3579178
BTMOEMEP,BJALXPFS,117741
BTMOEMEP,BLANHGYY,22373
BTMOEMEP,BSRMSVTC,316934
BTMOEMEP,DBWLZWNK,182188
BTMOEMEP,DJBLNPNC,14965
BTMOEMEP,DNMPSKTB,4382913
BTMOEMEP,FRHNWLNI,841274
BTMOEMEP,GYHKIVQT,17012613
BTMOEMEP,HXYSSRXE,5230201
BTMOEMEP,IGDVVKUD,13850
BTMOEMEP,JBVHSUWY,354181
BTMOEMEP,JPBRUTWP,5713768
BTMOEMEP,LPHPPJUG,1156236
BTMOEMEP,LRVGFDFM,15048793
BTMOEMEP,OGAFEHLU,14965
BTMOEMEP,OKMBFVKS,1649525
BTMOEMEP,OXKURKXR,102553
BTMOEMEP,QRKRBYJL,2815551
BTMOEMEP,QVLMOEYE,1091067
BTMOEMEP,RAWUKQMJ,4214634
BTMOEMEP,RCBZUSIM,13850
BTMOEMEP,SDWAYPIK,6424053
