leading_item_id,following_item_id,count,frequency
AANGBULD,ZCELVYQU,22,100.0
AANGBULD,ZKENOUDA,22,100.0
AANGBULD,DEWLVASR,22,100.0
AANGBULD,NAQIHUKZ,22,100.0
AANGBULD,GKQIJYDH,22,100.0
AANGBULD,FTSVTTSR,22,100.0
AANGBULD,VUAFAIYJ,22,100.0
AANGBULD,KJNSOAHR,22,100.0
AANGBULD,LLHREMKS,22,100.0
AANGBULD,APQGTRMF,22,100.0
AHMDUILJ,UXSPKBJR,22,100.0
AHMDUILJ,ATLDMDBO,22,100.0
AHMDUILJ,DUCMGGNW,22,100.0
AHMDUILJ,BUZIIBYG,22,100.0
AHMDUILJ,XIIEJNEE,22,100.0
AHMDUILJ,RAWUKQMJ,22,100.0
AHMDUILJ,WPQXWHYO,22,100.0
AHMDUILJ,YSYHGLQK,22,100.0
APQGTRMF,OKMBFVKS,22,100.0
APQGTRMF,RCBZUSIM,22,100.0
APQGTRMF,UIFPPCLR,22,100.0
APQGTRMF,QRKRBYJL,22,100.0
APQGTRMF,QVLMOEYE,22,100.0
APQGTRMF,DNMPSKTB,22,100.0
APQGTRMF,ATLDMDBO,22,100.0
APQGTRMF,GYHKIVQT,22,100.0
APQGTRMF,WHPUAOID,22,100.0
APQGTRMF,JPBRUTWP,22,100.0
APQGTRMF,VMAQSTJE,22,100.0
APQGTRMF,BTMOEMEP,22,100.0
