leading_item_id,following_item_id,value
AANGBULD,APQGTRMF,21015
AANGBULD,DEWLVASR,336742
AANGBULD,ELQGMQWE,394056
AANGBULD,EVBVXETX,5478554
AANGBULD,GYHKIVQT,22206188
AANGBULD,NZKBIBNU,199300
AANGBULD,OKMBFVKS,1898988
AANGBULD,RJGPVEXX,475356
AANGBULD,SDWAYPIK,5507105
AANGBULD,VUAFAIYJ,549857
AANGBULD,WPQXWHYO,11079688
AANGBULD,ZCELVYQU,31990
AANGBULD,ZKENOUDA,364778
AHMDUILJ,APQGTRMF,21015
AHMDUILJ,ATLDMDBO,31159364
AHMDUILJ,BSRMSVTC,244858
AHMDUILJ,BTMOEMEP,11757308
AHMDUILJ,BUZIIBYG,16048984
AHMDUILJ,DUCMGGNW,723067
AHMDUILJ,HXYSSRXE,5170810
AHMDUILJ,JERHKLYW,10368
AHMDUILJ,JPBRUTWP,5293907
AHMDUILJ,KAGJCHMR,3061
AHMDUILJ,KEUWZRKO,293916
AHMDUILJ,LRVGFDFM,4526843
AHMDUILJ,QRKRBYJL,2678361
AHMDUILJ,QVLMOEYE,1229332
AHMDUILJ,RAWUKQMJ,3553645
AHMDUILJ,RCBZUSIM,4970
AHMDUILJ,ROACSLMG,1972214
AHMDUILJ,SAHWCZNH,1444958
AHMDUILJ,UXSPKBJR,499825
AHMDUILJ,VBYCLTYZ,218257
AHMDUILJ,WBLJNPZQ,209378
AHMDUILJ,WPQXWHYO,11079688
AHMDUILJ,XUOIQPFL,2561126
AHMDUILJ,YSYHGLQK,1369
APQGTRMF,ATLDMDBO,31159364
APQGTRMF,AXULOHBQ,69427
APQGTRMF,BEZYMBBT,3323686
APQGTRMF,BSRMSVTC,244858
APQGTRMF,BTMOEMEP,11757308
APQGTRMF,DBWLZWNK,239593
APQGTRMF,DEWLVASR,336742
APQGTRMF,DNMPSKTB,4921399
APQGTRMF,DUCMGGNW,723067
APQGTRMF,ELQGMQWE,394056
APQGTRMF,FQCLOEXA,1687526
APQGTRMF,FRHNWLNI,995292
APQGTRMF,GYHKIVQT,22206188
APQGTRMF,HXYSSRXE,5170810
APQGTRMF,JPBRUTWP,5293907
APQGTRMF,KEUWZRKO,293916
APQGTRMF,LPHPPJUG,1270229
APQGTRMF,MBSBZBXA,3164167
APQGTRMF,OKMBFVKS,1898988
APQGTRMF,OXKURKXR,98481
APQGTRMF,QKXNTIIB,1578265
APQGTRMF,QRKRBYJL,2678361
APQGTRMF,QVLMOEYE,1229332
APQGTRMF,RAWUKQMJ,3553645
APQGTRMF,RCBZUSIM,4970
APQGTRMF,SAHWCZNH,1444958
APQGTRMF,SDWAYPIK,5507105
APQGTRMF,UIFPPCLR,60287
APQGTRMF,VBYCLTYZ,218257
APQGTRMF,VMAQSTJE,44056
APQGTRMF,WBLJNPZQ,209378
APQGTRMF,WHPUAOID,16637
APQGTRMF,WQMVCOEM,4860
APQGTRMF,XUOIQPFL,2561126
APQGTRMF,YSYHGLQK,1369
APQGTRMF,ZGJXVMNI,2417234
APQGTRMF,ZKENOUDA,364778
ATLDMDBO,APQGTRMF,21015
ATLDMDBO,AXULOHBQ,69427
ATLDMDBO,BEZYMBBT,3323686
ATLDMDBO,BJALXPFS,109868
ATLDMDBO,BSRMSVTC,244858
ATLDMDBO,BTMOEMEP,11757308
ATLDMDBO,DBWLZWNK,239593
ATLDMDBO,DEWLVASR,336742
ATLDMDBO,DNMPSKTB,4921399
ATLDMDBO,EVBVXETX,5478554
ATLDMDBO,FQCLOEXA,1687526
ATLDMDBO,GYHKIVQT,22206188
ATLDMDBO,HXYSSRXE,5170810
ATLDMDBO,JPBRUTWP,5293907
ATLDMDBO,KEUWZRKO,293916
ATLDMDBO,LPHPPJUG,1270229
ATLDMDBO,LRVGFDFM,4526843
ATLDMDBO,LUENUFGA,3161326
ATLDMDBO,OKMBFVKS,1898988
ATLDMDBO,OXKURKXR,98481
ATLDMDBO,QRKRBYJL,2678361
ATLDMDBO,QVLMOEYE,1229332
ATLDMDBO,RAWUKQMJ,3553645
ATLDMDBO,RCBZUSIM,4970
ATLDMDBO,SAHWCZNH,1444958
ATLDMDBO,SDWAYPIK,5507105
ATLDMDBO,UGEQLMXM,110761
ATLDMDBO,UIFPPCLR,60287
ATLDMDBO,UXSPKBJR,499825
ATLDMDBO,VBYCLTYZ,218257
ATLDMDBO,VMAQSTJE,44056
ATLDMDBO,WBLJNPZQ,209378
ATLDMDBO,WPQXWHYO,11079688
ATLDMDBO,WQMVCOEM,4860
ATLDMDBO,XIPPENFQ,91147
ATLDMDBO,XUOIQPFL,2561126
ATLDMDBO,ZGJXVMNI,2417234
ATLDMDBO,ZKENOUDA,364778
AXULOHBQ,ATLDMDBO,31159364
AXULOHBQ,BJALXPFS,109868
AXULOHBQ,BSRMSVTC,244858
AXULOHBQ,DNMPSKTB,4921399
AXULOHBQ,EVBVXETX,5478554
AXULOHBQ,FQCLOEXA,1687526
AXULOHBQ,GYHKIVQT,22206188
AXULOHBQ,HXYSSRXE,5170810
AXULOHBQ,KEUWZRKO,293916
AXULOHBQ,LPHPPJUG,1270229
AXULOHBQ,LUENUFGA,3161326
AXULOHBQ,NZKBIBNU,199300
AXULOHBQ,OKMBFVKS,1898988
AXULOHBQ,PYZMVUWD,252
AXULOHBQ,QJQJSWFU,114283
AXULOHBQ,RCBZUSIM,4970
AXULOHBQ,RJGPVEXX,475356
AXULOHBQ,SAHWCZNH,1444958
AXULOHBQ,UXSPKBJR,499825
AXULOHBQ,VMAQSTJE,44056
AXULOHBQ,VUAFAIYJ,549857
AXULOHBQ,VWMBASNE,139360
AXULOHBQ,WBLJNPZQ,209378
AXULOHBQ,WPQXWHYO,11079688
AXULOHBQ,WQMVCOEM,4860
AXULOHBQ,XIFHSOWQ,74959
AXULOHBQ,XUOIQPFL,2561126
AXULOHBQ,ZGJXVMNI,2417234
AXULOHBQ,ZKENOUDA,364778
BEZYMBBT,APQGTRMF,21015
BEZYMBBT,ATLDMDBO,31159364
BEZYMBBT,BTMOEMEP,11757308
BEZYMBBT,DBWLZWNK,239593
BEZYMBBT,DEWLVASR,336742
BEZYMBBT,DNMPSKTB,4921399
BEZYMBBT,ELQGMQWE,394056
BEZYMBBT,FQCLOEXA,1687526
BEZYMBBT,GYHKIVQT,22206188
BEZYMBBT,HXYSSRXE,5170810
BEZYMBBT,JPBRUTWP,5293907
BEZYMBBT,KEUWZRKO,293916
BEZYMBBT,KJNSOAHR,10668372
BEZYMBBT,LPHPPJUG,1270229
BEZYMBBT,OKMBFVKS,1898988
BEZYMBBT,OXKURKXR,98481
BEZYMBBT,QJQJSWFU,114283
BEZYMBBT,QRKRBYJL,2678361
BEZYMBBT,RAWUKQMJ,3553645
BEZYMBBT,RCBZUSIM,4970
BEZYMBBT,RJGPVEXX,475356
BEZYMBBT,SDWAYPIK,5507105
BEZYMBBT,STZDBITS,17594145
BEZYMBBT,UIFPPCLR,60287
BEZYMBBT,WBLJNPZQ,209378
BEZYMBBT,XMKRPGLB,754423
BEZYMBBT,XUOIQPFL,2561126
BEZYMBBT,YSYHGLQK,1369
BEZYMBBT,ZKENOUDA,364778
BJALXPFS,ATLDMDBO,31159364
BJALXPFS,AXULOHBQ,69427
BJALXPFS,BSRMSVTC,244858
BJALXPFS,DNMPSKTB,4921399
BJALXPFS,EVBVXETX,5478554
BJALXPFS,FITUEHWN,87577
BJALXPFS,GYHKIVQT,22206188
BJALXPFS,KEUWZRKO,293916
BJALXPFS,LTOYKIML,270297
BJALXPFS,OKMBFVKS,1898988
BJALXPFS,QJQJSWFU,114283
BJALXPFS,QRKRBYJL,2678361
BJALXPFS,QVLMOEYE,1229332
BJALXPFS,RAWUKQMJ,3553645
BJALXPFS,RCBZUSIM,4970
BJALXPFS,RJGPVEXX,475356
BJALXPFS,SDWAYPIK,5507105
BJALXPFS,SNHYOVBM,459356
BJALXPFS,UGEQLMXM,110761
BJALXPFS,UIFPPCLR,60287
BJALXPFS,VMAQSTJE,44056
BJALXPFS,VWMBASNE,139360
BJALXPFS,WBLJNPZQ,209378
BJALXPFS,XUOIQPFL,2561126
BJALXPFS,ZGJXVMNI,2417234
BLANHGYY,EVBVXETX,5478554
BLANHGYY,FDXPMYGF,3953
BLANHGYY,FQCLOEXA,1687526
BLANHGYY,RJGPVEXX,475356
BLANHGYY,SAHWCZNH,1444958
BLANHGYY,WPQXWHYO,11079688
BSRMSVTC,BEZYMBBT,3323686
BSRMSVTC,DNMPSKTB,4921399
BSRMSVTC,EVBVXETX,5478554
BSRMSVTC,FITUEHWN,87577
BSRMSVTC,HCDTGMST,10038
BSRMSVTC,JBVHSUWY,319693
BSRMSVTC,JPBRUTWP,5293907
BSRMSVTC,KEUWZRKO,293916
BSRMSVTC,LSOIUSXD,86154
BSRMSVTC,LUENUFGA,3161326
BSRMSVTC,OKMBFVKS,1898988
BSRMSVTC,RJGPVEXX,475356
BSRMSVTC,ROACSLMG,1972214
BSRMSVTC,STZDBITS,17594145
BSRMSVTC,UIFPPCLR,60287
BSRMSVTC,VMAQSTJE,44056
BSRMSVTC,VWMBASNE,139360
BSRMSVTC,WPQXWHYO,11079688
BSRMSVTC,XIFHSOWQ,74959
BSRMSVTC,XIPPENFQ,91147
BSRMSVTC,XUOIQPFL,2561126
BSRMSVTC,ZGJXVMNI,2417234
BTMOEMEP,APQGTRMF,21015
BTMOEMEP,ATLDMDBO,31159364
BTMOEMEP,AXULOHBQ,69427
BTMOEMEP,BEZYMBBT,3323686
BTMOEMEP,BJALXPFS,109868
BTMOEMEP,BSRMSVTC,244858
BTMOEMEP,BUZIIBYG,16048984
BTMOEMEP,DBWLZWNK,239593
BTMOEMEP,DEWLVASR,336742
BTMOEMEP,DNMPSKTB,4921399
BTMOEMEP,ELQGMQWE,394056
BTMOEMEP,FQCLOEXA,1687526
BTMOEMEP,FRHNWLNI,995292
BTMOEMEP,GYHKIVQT,22206188
BTMOEMEP,HXYSSRXE,5170810
BTMOEMEP,JBVHSUWY,319693
BTMOEMEP,JPBRUTWP,5293907
BTMOEMEP,KJNSOAHR,10668372
BTMOEMEP,LPHPPJUG,1270229
BTMOEMEP,LRVGFDFM,4526843
BTMOEMEP,OKMBFVKS,1898988
BTMOEMEP,OXKURKXR,98481
BTMOEMEP,QRKRBYJL,2678361
BTMOEMEP,QVLMOEYE,1229332
BTMOEMEP,RAWUKQMJ,3553645
BTMOEMEP,RCBZUSIM,4970
BTMOEMEP,RJGPVEXX,475356
BTMOEMEP,ROACSLMG,1972214
BTMOEMEP,SDWAYPIK,5507105
BTMOEMEP,UGEQLMXM,110761
BTMOEMEP,UIFPPCLR,60287
BTMOEMEP,UXSPKBJR,499825
BTMOEMEP,VBYCLTYZ,218257
BTMOEMEP,WBLJNPZQ,209378
BTMOEMEP,WQMVCOEM,4860
BTMOEMEP,XUOIQPFL,2561126
BTMOEMEP,ZGJXVMNI,2417234
BTMOEMEP,ZKENOUDA,364778
BUZIIBYG,BSRMSVTC,244858
BUZIIBYG,BTMOEMEP,11757308
BUZIIBYG,FRHNWLNI,995292
BUZIIBYG,HXYSSRXE,5170810
BUZIIBYG,KEUWZRKO,293916
BUZIIBYG,RCBZUSIM,4970
BUZIIBYG,RJGPVEXX,475356
BUZIIBYG,SAHWCZNH,1444958
BUZIIBYG,SNHYOVBM,459356
BUZIIBYG,UXSPKBJR,499825
BUZIIBYG,WBLJNPZQ,209378
BUZIIBYG,WHPUAOID,16637
BUZIIBYG,WPQXWHYO,11079688
BUZIIBYG,WQMVCOEM,4860
BUZIIBYG,XMKRPGLB,754423
BUZIIBYG,ZXERAXWP,14370
CCLHWFWF,AHMDUILJ,114924
CCLHWFWF,DBWLZWNK,239593
CCLHWFWF,DUCMGGNW,723067
CCLHWFWF,FCYBOAXC,104435817
CCLHWFWF,FITUEHWN,87577
CCLHWFWF,FQCLOEXA,1687526
CCLHWFWF,JPBRUTWP,5293907
CCLHWFWF,JSLXRQOK,179
CCLHWFWF,LRVGFDFM,4526843
CCLHWFWF,LSOIUSXD,86154
CCLHWFWF,LTOYKIML,270297
CCLHWFWF,NZKBIBNU,199300
CCLHWFWF,OGAFEHLU,931
CCLHWFWF,QVLMOEYE,1229332
CCLHWFWF,UGEQLMXM,110761
CCLHWFWF,VBYCLTYZ,218257
CCLHWFWF,VUAFAIYJ,549857
CCLHWFWF,VWMBASNE,139360
CCLHWFWF,WBLJNPZQ,209378
CCLHWFWF,WHPUAOID,16637
CCLHWFWF,YSYHGLQK,1369
CCLHWFWF,ZXERAXWP,14370
DBWLZWNK,APQGTRMF,21015
DBWLZWNK,ATLDMDBO,31159364
DBWLZWNK,AXULOHBQ,69427
DBWLZWNK,BEZYMBBT,3323686
DBWLZWNK,BJALXPFS,109868
DBWLZWNK,BSRMSVTC,244858
DBWLZWNK,BTMOEMEP,11757308
DBWLZWNK,CCLHWFWF,20520822
DBWLZWNK,DNMPSKTB,4921399
DBWLZWNK,DUCMGGNW,723067
DBWLZWNK,ELQGMQWE,394056
DBWLZWNK,FRHNWLNI,995292
