leading_item_id,following_item_id,value
AANGBULD,ZCELVYQU,35382
AANGBULD,ZKENOUDA,320838
AANGBULD,DEWLVASR,315560
AANGBULD,VUAFAIYJ,560025
AANGBULD,KJNSOAHR,10923002
AANGBULD,ELQGMQWE,350628
AANGBULD,EVBVXETX,5474684
AANGBULD,LTOYKIML,278429
AANGBULD,APQGTRMF,18137
AANGBULD,ZGJXVMNI,2411715
AANGBULD,SDWAYPIK,5451133
AANGBULD,NZKBIBNU,188364
AANGBULD,RJGPVEXX,511869
AANGBULD,WPQXWHYO,10861166
AANGBULD,FQCLOEXA,1687757
AHMDUILJ,UXSPKBJR,459166
AHMDUILJ,KAGJCHMR,5888
AHMDUILJ,ATLDMDBO,35525138
AHMDUILJ,DUCMGGNW,740899
AHMDUILJ,BUZIIBYG,15523547
AHMDUILJ,LRVGFDFM,6435626
AHMDUILJ,RAWUKQMJ,3585153
AHMDUILJ,WPQXWHYO,10860306
AHMDUILJ,QRKRBYJL,2404328
AHMDUILJ,APQGTRMF,17706
AHMDUILJ,XUOIQPFL,2664057
AHMDUILJ,QVLMOEYE,1251418
AHMDUILJ,BSRMSVTC,236357
AHMDUILJ,JERHKLYW,7659
AHMDUILJ,YSYHGLQK,1650
AHMDUILJ,BTMOEMEP,10086533
AHMDUILJ,VBYCLTYZ,166994
AHMDUILJ,SAHWCZNH,1478224
AHMDUILJ,WBLJNPZQ,202689
AHMDUILJ,ROACSLMG,2095391
AHMDUILJ,KEUWZRKO,331604
AHMDUILJ,RCBZUSIM,5497
AHMDUILJ,HXYSSRXE,5211391
AHMDUILJ,JPBRUTWP,5234880
AHMDUILJ,WQMVCOEM,21170
AHMDUILJ,RJGPVEXX,510618
AHMDUILJ,IGDVVKUD,1758
AHMDUILJ,AXULOHBQ,77258
AHMDUILJ,XIFHSOWQ,65746
AHMDUILJ,SAAYMURU,43998
AHMDUILJ,CCLHWFWF,20238801
AHMDUILJ,DBWLZWNK,254469
AHMDUILJ,DEWLVASR,323012
APQGTRMF,OKMBFVKS,1765729
APQGTRMF,RCBZUSIM,5299
APQGTRMF,UIFPPCLR,58939
APQGTRMF,QRKRBYJL,2404072
APQGTRMF,QVLMOEYE,1251284
APQGTRMF,DNMPSKTB,4923254
APQGTRMF,ATLDMDBO,35527340
APQGTRMF,GYHKIVQT,18900179
APQGTRMF,WHPUAOID,13503
APQGTRMF,JPBRUTWP,5234880
APQGTRMF,VMAQSTJE,46077
APQGTRMF,BTMOEMEP,10079878
APQGTRMF,BEZYMBBT,3628597
APQGTRMF,RAWUKQMJ,3585153
APQGTRMF,DUCMGGNW,740899
APQGTRMF,HXYSSRXE,5211391
APQGTRMF,YSYHGLQK,1640
APQGTRMF,OXKURKXR,107461
APQGTRMF,WBLJNPZQ,202152
APQGTRMF,DBWLZWNK,253638
APQGTRMF,XUOIQPFL,2662774
APQGTRMF,SAHWCZNH,1465113
APQGTRMF,SDWAYPIK,5430790
APQGTRMF,KEUWZRKO,323041
APQGTRMF,BSRMSVTC,231019
APQGTRMF,QKXNTIIB,2001930
APQGTRMF,AXULOHBQ,77148
APQGTRMF,LPHPPJUG,1232239
APQGTRMF,AANGBULD,12052
APQGTRMF,ZGJXVMNI,2434156
APQGTRMF,VBYCLTYZ,168403
APQGTRMF,DEWLVASR,322992
APQGTRMF,SNHYOVBM,288146
APQGTRMF,WQMVCOEM,21260
APQGTRMF,ELQGMQWE,357244
APQGTRMF,MBSBZBXA,3914576
APQGTRMF,FRHNWLNI,978366
APQGTRMF,BJALXPFS,104967
APQGTRMF,FQCLOEXA,1710192
APQGTRMF,ZKENOUDA,323270
APQGTRMF,RJGPVEXX,513028
APQGTRMF,UGEQLMXM,134714
APQGTRMF,ROACSLMG,2095610
APQGTRMF,EVBVXETX,5488577
APQGTRMF,WPQXWHYO,10870327
APQGTRMF,STZDBITS,16264471
ATLDMDBO,QRKRBYJL,2397674
ATLDMDBO,DNMPSKTB,4923534
ATLDMDBO,QVLMOEYE,1249902
ATLDMDBO,GYHKIVQT,18440803
ATLDMDBO,VBYCLTYZ,166867
ATLDMDBO,BTMOEMEP,10076547
ATLDMDBO,AXULOHBQ,77068
ATLDMDBO,SDWAYPIK,5417235
ATLDMDBO,RAWUKQMJ,3583878
ATLDMDBO,JPBRUTWP,5235175
ATLDMDBO,OXKURKXR,107412
ATLDMDBO,LRVGFDFM,6445545
ATLDMDBO,XUOIQPFL,2661789
ATLDMDBO,RCBZUSIM,5309
ATLDMDBO,UGEQLMXM,133951
ATLDMDBO,HXYSSRXE,5210904
ATLDMDBO,DBWLZWNK,253098
ATLDMDBO,IGDVVKUD,1698
ATLDMDBO,APQGTRMF,17697
ATLDMDBO,UXSPKBJR,459154
ATLDMDBO,OKMBFVKS,1765407
ATLDMDBO,WBLJNPZQ,202229
ATLDMDBO,VMAQSTJE,45861
ATLDMDBO,KEUWZRKO,323335
ATLDMDBO,BJALXPFS,105460
ATLDMDBO,UIFPPCLR,58925
ATLDMDBO,BEZYMBBT,3632922
ATLDMDBO,WPQXWHYO,10878210
ATLDMDBO,WQMVCOEM,21305
ATLDMDBO,LUENUFGA,3233361
ATLDMDBO,BSRMSVTC,231367
ATLDMDBO,SAHWCZNH,1464472
ATLDMDBO,XIPPENFQ,92274
ATLDMDBO,JBVHSUWY,291200
ATLDMDBO,FRHNWLNI,978741
ATLDMDBO,VWMBASNE,153047
ATLDMDBO,NZKBIBNU,188774
ATLDMDBO,KJNSOAHR,11039848
ATLDMDBO,RJGPVEXX,517910
ATLDMDBO,ZXERAXWP,14934
AXULOHBQ,XIFHSOWQ,64114
AXULOHBQ,LUENUFGA,3222954
AXULOHBQ,KEUWZRKO,322026
AXULOHBQ,SAHWCZNH,1465705
AXULOHBQ,BSRMSVTC,230894
AXULOHBQ,FDXPMYGF,2043
AXULOHBQ,PYZMVUWD,1388
AXULOHBQ,RJGPVEXX,518032
AXULOHBQ,NZKBIBNU,188774
AXULOHBQ,VMAQSTJE,46021
AXULOHBQ,VWMBASNE,152554
AXULOHBQ,EVBVXETX,5507930
AXULOHBQ,WPQXWHYO,10902268
AXULOHBQ,BJALXPFS,105473
AXULOHBQ,FQCLOEXA,1721974
AXULOHBQ,ZGJXVMNI,2434156
AXULOHBQ,UXSPKBJR,465238
AXULOHBQ,HXYSSRXE,5212189
AXULOHBQ,DNMPSKTB,4923729
AXULOHBQ,XUOIQPFL,2664464
AXULOHBQ,LPHPPJUG,1236887
AXULOHBQ,ATLDMDBO,35658912
AXULOHBQ,VUAFAIYJ,566100
AXULOHBQ,QJQJSWFU,111154
AXULOHBQ,HCDTGMST,16742
AXULOHBQ,GYHKIVQT,19545962
AXULOHBQ,WBLJNPZQ,202324
AXULOHBQ,ZKENOUDA,325538
AXULOHBQ,OKMBFVKS,1766087
AXULOHBQ,RCBZUSIM,5559
