leading_item_id,following_item_id,value
AANGBULD,APQGTRMF,15520484
AANGBULD,BEZYMBBT,4842425
AANGBULD,DEWLVASR,3167569
AANGBULD,DNMPSKTB,9467532
AANGBULD,ELQGMQWE,3985162
AANGBULD,EVBVXETX,3905160
AANGBULD,FTSVTTSR,4395472
AANGBULD,GKQIJYDH,4082520
AANGBULD,GYHKIVQT,5879931
AANGBULD,KJNSOAHR,4830502
AANGBULD,LLHREMKS,2618804
AANGBULD,NAQIHUKZ,4674501
AANGBULD,OKMBFVKS,3989141
AANGBULD,QVLMOEYE,3658514
AANGBULD,SDWAYPIK,4178367
AANGBULD,UIFPPCLR,4305918
AANGBULD,VUAFAIYJ,3689846
AANGBULD,XIIEJNEE,3782090
AANGBULD,ZCELVYQU,4589529
AANGBULD,ZKENOUDA,7374513
AANGBULD,ZXERAXWP,4749084
AHMDUILJ,APQGTRMF,4059901
AHMDUILJ,ATLDMDBO,13456574
AHMDUILJ,BUZIIBYG,5441799
AHMDUILJ,DUCMGGNW,5569001
AHMDUILJ,KAGJCHMR,4084475
AHMDUILJ,LRVGFDFM,4293752
AHMDUILJ,QRKRBYJL,4171634
AHMDUILJ,QVLMOEYE,4588123
AHMDUILJ,RAWUKQMJ,3908726
AHMDUILJ,UXSPKBJR,5784751
AHMDUILJ,WPQXWHYO,3309618
AHMDUILJ,XIIEJNEE,4180406
AHMDUILJ,YSYHGLQK,3254313
APQGTRMF,AANGBULD,12240700
APQGTRMF,ATLDMDBO,28128664
APQGTRMF,AXULOHBQ,2806855
APQGTRMF,BEZYMBBT,4896172
APQGTRMF,BSRMSVTC,3730416
APQGTRMF,BTMOEMEP,5239744
APQGTRMF,DBWLZWNK,3059472
APQGTRMF,DJBLNPNC,5233796
APQGTRMF,DNMPSKTB,4116734
APQGTRMF,DUCMGGNW,2547338
APQGTRMF,FDXPMYGF,3568621
APQGTRMF,FQCLOEXA,4106412
APQGTRMF,GYHKIVQT,14625008
APQGTRMF,HXYSSRXE,1399325
APQGTRMF,JPBRUTWP,4848430
APQGTRMF,KEUWZRKO,4251802
APQGTRMF,LPHPPJUG,3226887
APQGTRMF,OGAFEHLU,3921050
APQGTRMF,OKMBFVKS,4091516
APQGTRMF,OXKURKXR,3860592
APQGTRMF,QKXNTIIB,4102306
APQGTRMF,QRKRBYJL,4762451
APQGTRMF,QVLMOEYE,6188897
APQGTRMF,RAWUKQMJ,3961906
APQGTRMF,RCBZUSIM,3672512
APQGTRMF,SAHWCZNH,3860488
APQGTRMF,SDWAYPIK,3813759
APQGTRMF,UIFPPCLR,3735821
APQGTRMF,VMAQSTJE,3359584
APQGTRMF,WBLJNPZQ,3800756
APQGTRMF,WHPUAOID,4443048
APQGTRMF,XUOIQPFL,5094688
APQGTRMF,YSYHGLQK,5226844
APQGTRMF,ZGJXVMNI,4886428
ATLDMDBO,APQGTRMF,2483753
ATLDMDBO,AXULOHBQ,7960405
ATLDMDBO,BJALXPFS,4349075
ATLDMDBO,BTMOEMEP,12254176
ATLDMDBO,DBWLZWNK,4396252
ATLDMDBO,DEWLVASR,3146473
ATLDMDBO,DNMPSKTB,5207099
ATLDMDBO,EVBVXETX,4815066
ATLDMDBO,FDXPMYGF,1974925
ATLDMDBO,FQCLOEXA,2294059
ATLDMDBO,GYHKIVQT,7960405
ATLDMDBO,HXYSSRXE,3283076
ATLDMDBO,IGDVVKUD,4928325
ATLDMDBO,JPBRUTWP,10885117
ATLDMDBO,KEUWZRKO,4349075
ATLDMDBO,LPHPPJUG,5278353
ATLDMDBO,LRVGFDFM,7310763
ATLDMDBO,OGAFEHLU,4049947
ATLDMDBO,OKMBFVKS,3751119
ATLDMDBO,OXKURKXR,5579633
ATLDMDBO,QRKRBYJL,9898047
ATLDMDBO,QVLMOEYE,8126634
ATLDMDBO,RAWUKQMJ,4755570
ATLDMDBO,RCBZUSIM,4522668
ATLDMDBO,SDWAYPIK,17604142
ATLDMDBO,UGEQLMXM,3643896
ATLDMDBO,UXSPKBJR,5393321
ATLDMDBO,VBYCLTYZ,7188354
ATLDMDBO,VMAQSTJE,2532089
