leading_item_id,following_item_id,value
AANGBULD,APQGTRMF,148938
AANGBULD,DDEXPPXU,148938
AANGBULD,DEWLVASR,358138
AANGBULD,FTSVTTSR,262037
AANGBULD,GKQIJYDH,7418116
AANGBULD,GYHKIVQT,20637589
AANGBULD,KJNSOAHR,10356780
AANGBULD,LLHREMKS,148938
AANGBULD,LTOYKIML,421577
AANGBULD,NAQIHUKZ,148938
AANGBULD,OKMBFVKS,1754389
AANGBULD,OXKURKXR,164639
AANGBULD,QVLMOEYE,1083436
AANGBULD,VUAFAIYJ,834677
AANGBULD,XIIEJNEE,148938
AANGBULD,ZCELVYQU,176792
AANGBULD,ZKENOUDA,358138
AANGBULD,ZXERAXWP,148938
AHMDUILJ,APQGTRMF,148938
AHMDUILJ,ATLDMDBO,40949756
AHMDUILJ,BSRMSVTC,356349
AHMDUILJ,BUZIIBYG,16200846
AHMDUILJ,DUCMGGNW,834677
AHMDUILJ,HXYSSRXE,5436547
AHMDUILJ,KAGJCHMR,148938
AHMDUILJ,LRVGFDFM,13778625
AHMDUILJ,RAWUKQMJ,3869234
AHMDUILJ,SAHWCZNH,2030235
AHMDUILJ,UXSPKBJR,475322
AHMDUILJ,WPQXWHYO,12074670
AHMDUILJ,XIIEJNEE,148938
AHMDUILJ,YSYHGLQK,148938
APQGTRMF,ATLDMDBO,40949756
APQGTRMF,BEZYMBBT,3546404
APQGTRMF,BSRMSVTC,356349
APQGTRMF,BTMOEMEP,11092299
APQGTRMF,DEWLVASR,358138
APQGTRMF,DJBLNPNC,148938
APQGTRMF,DNMPSKTB,5217067
APQGTRMF,DUCMGGNW,834677
APQGTRMF,FDXPMYGF,148938
APQGTRMF,GYHKIVQT,19918140
APQGTRMF,HXYSSRXE,5231538
APQGTRMF,JPBRUTWP,5240870
APQGTRMF,OGAFEHLU,148938
APQGTRMF,OKMBFVKS,1754389
APQGTRMF,OXKURKXR,164639
APQGTRMF,QRKRBYJL,2680245
APQGTRMF,QVLMOEYE,1083436
APQGTRMF,RAWUKQMJ,3869234
APQGTRMF,RCBZUSIM,148938
APQGTRMF,ROACSLMG,2477081
APQGTRMF,SDWAYPIK,5991128
APQGTRMF,UIFPPCLR,148938
APQGTRMF,VMAQSTJE,148938
APQGTRMF,WBLJNPZQ,209284
APQGTRMF,WHPUAOID,148938
APQGTRMF,XUOIQPFL,2842734
APQGTRMF,YSYHGLQK,148938
APQGTRMF,ZGJXVMNI,2842734
ATLDMDBO,APQGTRMF,148938
ATLDMDBO,AXULOHBQ,148938
ATLDMDBO,BEZYMBBT,3535969
ATLDMDBO,BJALXPFS,180315
ATLDMDBO,BLANHGYY,148938
ATLDMDBO,BTMOEMEP,12064018
ATLDMDBO,DBWLZWNK,249520
ATLDMDBO,DEWLVASR,364565
ATLDMDBO,DNMPSKTB,5475457
ATLDMDBO,EVBVXETX,5339905
ATLDMDBO,FDXPMYGF,148938
ATLDMDBO,FQCLOEXA,2028300
ATLDMDBO,GYHKIVQT,17970978
ATLDMDBO,HXYSSRXE,5510131
ATLDMDBO,IGDVVKUD,148938
ATLDMDBO,JPBRUTWP,5378292
ATLDMDBO,LPHPPJUG,1169960
ATLDMDBO,LRVGFDFM,12722534
ATLDMDBO,OGAFEHLU,148938
ATLDMDBO,OKMBFVKS,1809027
ATLDMDBO,OXKURKXR,167364
ATLDMDBO,QRKRBYJL,2622280
ATLDMDBO,QVLMOEYE,1082901
ATLDMDBO,RAWUKQMJ,3929237
ATLDMDBO,RCBZUSIM,148938
ATLDMDBO,SDWAYPIK,5353322
ATLDMDBO,UGEQLMXM,266401
ATLDMDBO,UXSPKBJR,479963
ATLDMDBO,VBYCLTYZ,514444
ATLDMDBO,WBLJNPZQ,213566
ATLDMDBO,WPQXWHYO,12320882
ATLDMDBO,XIIEJNEE,148938
ATLDMDBO,XUOIQPFL,2905999
ATLDMDBO,ZGJXVMNI,2897372
ATLDMDBO,ZKENOUDA,364565
AXULOHBQ,ATLDMDBO,41396575
AXULOHBQ,BJALXPFS,176792
AXULOHBQ,BSRMSVTC,356349
AXULOHBQ,DNMPSKTB,5401873
AXULOHBQ,EVBVXETX,5021626
AXULOHBQ,FDXPMYGF,148938
AXULOHBQ,FQCLOEXA,1973662
AXULOHBQ,HXYSSRXE,5436547
AXULOHBQ,KEUWZRKO,358138
AXULOHBQ,KJNSOAHR,10355100
AXULOHBQ,LPHPPJUG,1170494
AXULOHBQ,LUENUFGA,3987420
AXULOHBQ,NZKBIBNU,264761
AXULOHBQ,OGAFEHLU,148938
AXULOHBQ,PYZMVUWD,148938
AXULOHBQ,RJGPVEXX,561582
AXULOHBQ,SAHWCZNH,2030235
AXULOHBQ,SUOYXCHP,148938
AXULOHBQ,UXSPKBJR,475322
AXULOHBQ,VMAQSTJE,148938
AXULOHBQ,VUAFAIYJ,834677
AXULOHBQ,VWMBASNE,148938
AXULOHBQ,WPQXWHYO,12074670
AXULOHBQ,XIFHSOWQ,148938
AXULOHBQ,XUOIQPFL,2842734
AXULOHBQ,ZGJXVMNI,2842734
BEZYMBBT,DBWLZWNK,257405
BEZYMBBT,ELQGMQWE,523685
BEZYMBBT,FQCLOEXA,1973662
BEZYMBBT,GYHKIVQT,19703689
BEZYMBBT,HXYSSRXE,5027470
BEZYMBBT,KJNSOAHR,10257519
BEZYMBBT,OKMBFVKS,1754389
BEZYMBBT,RAWUKQMJ,3869234
BEZYMBBT,RCBZUSIM,148938
BEZYMBBT,RJGPVEXX,587123
BEZYMBBT,SDWAYPIK,5222911
BEZYMBBT,UIFPPCLR,148938
BEZYMBBT,WBLJNPZQ,221451
BEZYMBBT,YSYHGLQK,148938
BJALXPFS,AXULOHBQ,148938
BJALXPFS,BSRMSVTC,356349
BJALXPFS,DNMPSKTB,5401873
BJALXPFS,EVBVXETX,5021626
BJALXPFS,FITUEHWN,148938
BJALXPFS,GYHKIVQT,20082732
BJALXPFS,KEUWZRKO,358138
BJALXPFS,OGAFEHLU,148938
BJALXPFS,QRKRBYJL,2647855
BJALXPFS,QVLMOEYE,1083436
BJALXPFS,RCBZUSIM,148938
BJALXPFS,RJGPVEXX,561582
BJALXPFS,SDWAYPIK,5991128
BJALXPFS,SNHYOVBM,380048
