leading_item_id,following_item_id,value
AANGBULD,APQGTRMF,2570282
AANGBULD,DDEXPPXU,2974493
AANGBULD,DEWLVASR,3155666
AANGBULD,FTSVTTSR,3091152
AANGBULD,GKQIJYDH,4549435
AANGBULD,GYHKIVQT,16299111
AANGBULD,KJNSOAHR,2640957
AANGBULD,LLHREMKS,3984117
AANGBULD,LTOYKIML,3126769
AANGBULD,NAQIHUKZ,3771670
AANGBULD,OKMBFVKS,3314029
AANGBULD,OXKURKXR,2452986
AANGBULD,QVLMOEYE,2948515
AANGBULD,VUAFAIYJ,3153494
AANGBULD,XIIEJNEE,3915830
AANGBULD,ZCELVYQU,2613403
AANGBULD,ZKENOUDA,5794562
AANGBULD,ZXERAXWP,5704715
AHMDUILJ,APQGTRMF,2653781
AHMDUILJ,ATLDMDBO,13256724
AHMDUILJ,BSRMSVTC,2617889
AHMDUILJ,BUZIIBYG,4898677
AHMDUILJ,DUCMGGNW,3589072
AHMDUILJ,HXYSSRXE,3113636
AHMDUILJ,KAGJCHMR,3314029
AHMDUILJ,LRVGFDFM,3012144
AHMDUILJ,RAWUKQMJ,2717200
AHMDUILJ,SAHWCZNH,2895433
AHMDUILJ,UXSPKBJR,2340674
AHMDUILJ,WPQXWHYO,3241114
AHMDUILJ,XIIEJNEE,2667134
AHMDUILJ,YSYHGLQK,3293001
APQGTRMF,ATLDMDBO,18133268
APQGTRMF,BEZYMBBT,3368148
APQGTRMF,BSRMSVTC,2286838
APQGTRMF,BTMOEMEP,4164625
APQGTRMF,DEWLVASR,3099023
APQGTRMF,DJBLNPNC,2367334
APQGTRMF,DNMPSKTB,4524482
APQGTRMF,DUCMGGNW,2988233
APQGTRMF,FDXPMYGF,3005234
APQGTRMF,GYHKIVQT,6651618
APQGTRMF,HXYSSRXE,3411982
APQGTRMF,JPBRUTWP,4548703
APQGTRMF,OGAFEHLU,2694595
APQGTRMF,OKMBFVKS,2989399
APQGTRMF,OXKURKXR,1578443
APQGTRMF,QRKRBYJL,2854944
APQGTRMF,QVLMOEYE,5580342
APQGTRMF,RAWUKQMJ,2903534
APQGTRMF,RCBZUSIM,3017174
APQGTRMF,ROACSLMG,3642319
APQGTRMF,SDWAYPIK,5496945
APQGTRMF,UIFPPCLR,3210463
APQGTRMF,VMAQSTJE,3340914
APQGTRMF,WBLJNPZQ,2161916
APQGTRMF,WHPUAOID,3127839
APQGTRMF,XUOIQPFL,3172680
APQGTRMF,YSYHGLQK,2363659
APQGTRMF,ZGJXVMNI,3409944
ATLDMDBO,APQGTRMF,1865526
ATLDMDBO,AXULOHBQ,3050473
ATLDMDBO,BEZYMBBT,4137124
ATLDMDBO,BJALXPFS,2383649
ATLDMDBO,BLANHGYY,3100901
ATLDMDBO,BTMOEMEP,8482189
ATLDMDBO,DBWLZWNK,3187333
ATLDMDBO,DEWLVASR,1551930
ATLDMDBO,DNMPSKTB,6490497
ATLDMDBO,EVBVXETX,2759688
ATLDMDBO,FDXPMYGF,2706689
ATLDMDBO,FQCLOEXA,3002303
ATLDMDBO,GYHKIVQT,22950497
ATLDMDBO,HXYSSRXE,4720775
ATLDMDBO,IGDVVKUD,3523091
ATLDMDBO,JPBRUTWP,5699232
ATLDMDBO,LPHPPJUG,2446608
ATLDMDBO,LRVGFDFM,8478005
ATLDMDBO,OGAFEHLU,2451618
ATLDMDBO,OKMBFVKS,2399977
