leading_item_id,following_item_id,value
AANGBULD,ZCELVYQU,201402
AANGBULD,ZKENOUDA,336295
AANGBULD,DEWLVASR,336078
AANGBULD,NAQIHUKZ,52271
AANGBULD,GKQIJYDH,13658466
AANGBULD,FTSVTTSR,189094
AANGBULD,VUAFAIYJ,669088
AANGBULD,KJNSOAHR,9901235
AANGBULD,ZXERAXWP,67489
AANGBULD,XIIEJNEE,57434
AANGBULD,LLHREMKS,80597
AANGBULD,ELQGMQWE,520935
AANGBULD,OXKURKXR,119789
AANGBULD,EVBVXETX,5543798
AANGBULD,DNMPSKTB,4961897
AANGBULD,LTOYKIML,361453
AANGBULD,DDEXPPXU,40067
AANGBULD,UQYUIVVR,4916387
AANGBULD,APQGTRMF,52984
AANGBULD,ZGJXVMNI,2946349
AANGBULD,SDWAYPIK,5073348
AANGBULD,NZKBIBNU,257243
AANGBULD,RJGPVEXX,555808
AANGBULD,LSOIUSXD,216819
AANGBULD,SAAYMURU,63021
AANGBULD,FITUEHWN,98004
AANGBULD,WPQXWHYO,9610186
AANGBULD,FWUCPMMW,40500
AANGBULD,FQCLOEXA,1865402
AANGBULD,LUENUFGA,3355012
AANGBULD,XIPPENFQ,106072
AANGBULD,DBWLZWNK,216547
AANGBULD,MBSBZBXA,4524187
AHMDUILJ,UXSPKBJR,439880
AHMDUILJ,KAGJCHMR,38055
AHMDUILJ,ATLDMDBO,35136595
AHMDUILJ,DUCMGGNW,1014601
AHMDUILJ,BUZIIBYG,14549108
AHMDUILJ,LRVGFDFM,17544555
AHMDUILJ,XIIEJNEE,57434
AHMDUILJ,RAWUKQMJ,4101859
AHMDUILJ,WPQXWHYO,9610186
AHMDUILJ,QRKRBYJL,2341311
AHMDUILJ,APQGTRMF,52984
AHMDUILJ,XUOIQPFL,2713782
AHMDUILJ,QVLMOEYE,1155587
AHMDUILJ,BSRMSVTC,274723
AHMDUILJ,JERHKLYW,38335
AHMDUILJ,YSYHGLQK,40500
AHMDUILJ,BTMOEMEP,12502268
AHMDUILJ,VBYCLTYZ,483176
AHMDUILJ,SAHWCZNH,1668768
AHMDUILJ,WBLJNPZQ,229376
AHMDUILJ,ROACSLMG,1974311
AHMDUILJ,KEUWZRKO,326355
AHMDUILJ,RCBZUSIM,41852
AHMDUILJ,HXYSSRXE,4967232
AHMDUILJ,JPBRUTWP,5208030
AHMDUILJ,WQMVCOEM,56696
AHMDUILJ,RJGPVEXX,555808
AHMDUILJ,IGDVVKUD,37423
AHMDUILJ,AXULOHBQ,77778
AHMDUILJ,XIFHSOWQ,63425
AHMDUILJ,FTSVTTSR,189094
AHMDUILJ,SAAYMURU,59608
AHMDUILJ,TGOELCAG,247548
AHMDUILJ,CCLHWFWF,23542424
AHMDUILJ,DBWLZWNK,216547
AHMDUILJ,BLANHGYY,55701
AHMDUILJ,DEWLVASR,336078
APQGTRMF,OKMBFVKS,1709423
APQGTRMF,RCBZUSIM,41852
APQGTRMF,UIFPPCLR,68633
APQGTRMF,QRKRBYJL,2341311
APQGTRMF,QVLMOEYE,1155587
