leading_item_id,following_item_id,value
AANGBULD,NAQIHUKZ,942
AANGBULD,GKQIJYDH,7391126
AANGBULD,FTSVTTSR,132257
AANGBULD,ZKENOUDA,322640
AANGBULD,ZCELVYQU,23100
AANGBULD,LLHREMKS,44734
AANGBULD,XIIEJNEE,69
AANGBULD,SAAYMURU,44800
AANGBULD,DDEXPPXU,17614
AANGBULD,ZGJXVMNI,2414941
AANGBULD,DNMPSKTB,4967959
AANGBULD,VUAFAIYJ,418445
AANGBULD,DEWLVASR,320028
AANGBULD,ZXERAXWP,7501
AANGBULD,SDWAYPIK,5259426
AANGBULD,KJNSOAHR,10519675
AANGBULD,XIPPENFQ,57110
AANGBULD,FWUCPMMW,1301
AANGBULD,FITUEHWN,71662
AANGBULD,LTOYKIML,268155
AANGBULD,ELQGMQWE,389507
AANGBULD,UQYUIVVR,4114201
AANGBULD,OXKURKXR,116230
AANGBULD,NZKBIBNU,169961
AANGBULD,EVBVXETX,5450345
AANGBULD,LSOIUSXD,90005
AANGBULD,APQGTRMF,13706
AANGBULD,RJGPVEXX,513043
AANGBULD,WPQXWHYO,10468570
AANGBULD,FQCLOEXA,1691201
AANGBULD,LUENUFGA,3315003
AANGBULD,MBSBZBXA,3808003
AANGBULD,DBWLZWNK,229772
AHMDUILJ,UXSPKBJR,412707
AHMDUILJ,KAGJCHMR,1353
AHMDUILJ,DUCMGGNW,768159
AHMDUILJ,XIIEJNEE,69
AHMDUILJ,BUZIIBYG,15952735
AHMDUILJ,ATLDMDBO,32066233
AHMDUILJ,RAWUKQMJ,3660604
AHMDUILJ,LRVGFDFM,7666614
AHMDUILJ,BSRMSVTC,393002
AHMDUILJ,JERHKLYW,5268
AHMDUILJ,QRKRBYJL,2932477
AHMDUILJ,WPQXWHYO,10465823
AHMDUILJ,QVLMOEYE,1128845
AHMDUILJ,KEUWZRKO,307034
AHMDUILJ,BTMOEMEP,11839795
AHMDUILJ,VBYCLTYZ,223307
AHMDUILJ,FTSVTTSR,132356
AHMDUILJ,HXYSSRXE,5324031
AHMDUILJ,APQGTRMF,13682
AHMDUILJ,IGDVVKUD,2550
AHMDUILJ,SAAYMURU,44863
AHMDUILJ,RCBZUSIM,4151
AHMDUILJ,XIFHSOWQ,52244
AHMDUILJ,WBLJNPZQ,180934
AHMDUILJ,TGOELCAG,86537
AHMDUILJ,WQMVCOEM,4233
AHMDUILJ,JPBRUTWP,5672766
AHMDUILJ,CCLHWFWF,22023254
AHMDUILJ,BLANHGYY,4176
AHMDUILJ,AXULOHBQ,63723
AHMDUILJ,ROACSLMG,1976545
AHMDUILJ,RJGPVEXX,513527
AHMDUILJ,YSYHGLQK,1862
AHMDUILJ,DBWLZWNK,227823
AHMDUILJ,XUOIQPFL,2543056
APQGTRMF,WHPUAOID,12966
APQGTRMF,OKMBFVKS,1853545
APQGTRMF,RCBZUSIM,4124
APQGTRMF,UIFPPCLR,75498
APQGTRMF,DNMPSKTB,4967844
APQGTRMF,ATLDMDBO,32087467
APQGTRMF,QRKRBYJL,2933586
APQGTRMF,QVLMOEYE,1129830
APQGTRMF,GYHKIVQT,21637724
APQGTRMF,QKXNTIIB,1809399
APQGTRMF,RAWUKQMJ,3661779
APQGTRMF,BTMOEMEP,11985525
APQGTRMF,HXYSSRXE,5325608
APQGTRMF,DUCMGGNW,768551
APQGTRMF,JPBRUTWP,5679715
APQGTRMF,DJBLNPNC,129
APQGTRMF,VMAQSTJE,43882
APQGTRMF,DBWLZWNK,227951
APQGTRMF,OGAFEHLU,33
APQGTRMF,BSRMSVTC,391252
APQGTRMF,WBLJNPZQ,180880
APQGTRMF,KEUWZRKO,304984
APQGTRMF,LPHPPJUG,1217291
APQGTRMF,SDWAYPIK,5235794
APQGTRMF,AXULOHBQ,63695
APQGTRMF,BEZYMBBT,3517717
APQGTRMF,BJALXPFS,111742
