leading_item_id,following_item_id,value
AANGBULD,ZCELVYQU,223393
AANGBULD,ZKENOUDA,357116
AANGBULD,DEWLVASR,346666
AANGBULD,NAQIHUKZ,115464
AANGBULD,GKQIJYDH,12891146
AANGBULD,FTSVTTSR,218091
AANGBULD,VUAFAIYJ,649033
AANGBULD,KJNSOAHR,12329095
AANGBULD,ZXERAXWP,115464
AANGBULD,XIIEJNEE,117257
AANGBULD,LLHREMKS,115464
AANGBULD,ELQGMQWE,503597
AANGBULD,OXKURKXR,153566
AANGBULD,EVBVXETX,5142398
AANGBULD,DNMPSKTB,5100735
AANGBULD,LTOYKIML,377500
AANGBULD,DDEXPPXU,115464
AANGBULD,UQYUIVVR,4258993
AANGBULD,APQGTRMF,115464
AANGBULD,ZGJXVMNI,2726430
AANGBULD,SDWAYPIK,5015042
AANGBULD,NZKBIBNU,269034
AANGBULD,RJGPVEXX,505390
AANGBULD,LSOIUSXD,236448
AANGBULD,SAAYMURU,115464
AANGBULD,FITUEHWN,133364
AANGBULD,WPQXWHYO,10628339
AANGBULD,FWUCPMMW,115464
AANGBULD,FQCLOEXA,2048886
AANGBULD,LUENUFGA,3298695
AANGBULD,XIPPENFQ,143911
AANGBULD,DBWLZWNK,215101
AANGBULD,MBSBZBXA,4537868
AHMDUILJ,UXSPKBJR,454055
AHMDUILJ,KAGJCHMR,115464
AHMDUILJ,ATLDMDBO,42390302
AHMDUILJ,DUCMGGNW,854675
AHMDUILJ,BUZIIBYG,16379605
AHMDUILJ,LRVGFDFM,10836893
AHMDUILJ,XIIEJNEE,117257
AHMDUILJ,RAWUKQMJ,3971525
AHMDUILJ,WPQXWHYO,10628339
AHMDUILJ,QRKRBYJL,2346666
AHMDUILJ,APQGTRMF,115464
AHMDUILJ,XUOIQPFL,2721992
AHMDUILJ,QVLMOEYE,1144936
AHMDUILJ,BSRMSVTC,295249
AHMDUILJ,JERHKLYW,115464
AHMDUILJ,YSYHGLQK,115464
AHMDUILJ,BTMOEMEP,14901577
AHMDUILJ,VBYCLTYZ,468849
AHMDUILJ,SAHWCZNH,1936471
AHMDUILJ,WBLJNPZQ,215420
AHMDUILJ,ROACSLMG,2066293
AHMDUILJ,KEUWZRKO,344874
AHMDUILJ,RCBZUSIM,115464
AHMDUILJ,HXYSSRXE,5197521
AHMDUILJ,JPBRUTWP,5209403
AHMDUILJ,WQMVCOEM,115464
AHMDUILJ,RJGPVEXX,505390
AHMDUILJ,IGDVVKUD,115464
