leading_item_id,following_item_id,value
AANGBULD,DEWLVASR,406507
AANGBULD,DNMPSKTB,5656703
AANGBULD,FTSVTTSR,194225
AANGBULD,GKQIJYDH,2377708
AANGBULD,GYHKIVQT,35897671
AANGBULD,KJNSOAHR,19970008
AANGBULD,LLHREMKS,112562
AANGBULD,NAQIHUKZ,87040
AANGBULD,OKMBFVKS,2231959
AANGBULD,QVLMOEYE,1068556
AANGBULD,VUAFAIYJ,902504
AANGBULD,XIIEJNEE,84782
AANGBULD,ZCELVYQU,246607
AANGBULD,ZKENOUDA,506191
AANGBULD,ZXERAXWP,88198
AHMDUILJ,ATLDMDBO,37069167
AHMDUILJ,BUZIIBYG,20985960
AHMDUILJ,DUCMGGNW,885639
AHMDUILJ,KAGJCHMR,42399
AHMDUILJ,LRVGFDFM,2818040
AHMDUILJ,QRKRBYJL,2592824
AHMDUILJ,RAWUKQMJ,4383885
AHMDUILJ,UXSPKBJR,436611
AHMDUILJ,WPQXWHYO,16170056
AHMDUILJ,XIIEJNEE,84307
APQGTRMF,ATLDMDBO,36879785
APQGTRMF,BEZYMBBT,3321246
APQGTRMF,BTMOEMEP,8620997
APQGTRMF,DJBLNPNC,28308
APQGTRMF,DNMPSKTB,6149822
APQGTRMF,DUCMGGNW,917887
APQGTRMF,FDXPMYGF,71550
APQGTRMF,GYHKIVQT,36825677
APQGTRMF,HXYSSRXE,5034898
APQGTRMF,JPBRUTWP,5523470
APQGTRMF,OGAFEHLU,94574
APQGTRMF,OKMBFVKS,2270409
APQGTRMF,OXKURKXR,211640
APQGTRMF,QRKRBYJL,2627635
APQGTRMF,QVLMOEYE,1128481
APQGTRMF,RAWUKQMJ,4777115
APQGTRMF,RCBZUSIM,73191
APQGTRMF,SDWAYPIK,5713446
APQGTRMF,UIFPPCLR,113552
APQGTRMF,VMAQSTJE,48904
APQGTRMF,WBLJNPZQ,186623
APQGTRMF,WHPUAOID,72090
APQGTRMF,XUOIQPFL,2495633
APQGTRMF,YSYHGLQK,23635
ATLDMDBO,APQGTRMF,41725
ATLDMDBO,AXULOHBQ,67264
ATLDMDBO,BTMOEMEP,7567307
ATLDMDBO,DBWLZWNK,129088
ATLDMDBO,DNMPSKTB,5508821
ATLDMDBO,FQCLOEXA,2243784
ATLDMDBO,GYHKIVQT,33505423
ATLDMDBO,HXYSSRXE,4838926
ATLDMDBO,IGDVVKUD,14968
