leading_item_id,following_item_id,value
AANGBULD,ZCELVYQU,198935
AANGBULD,ZKENOUDA,331376
AANGBULD,DEWLVASR,337475
AANGBULD,NAQIHUKZ,45688
AANGBULD,GKQIJYDH,12552882
AANGBULD,FTSVTTSR,191623
AANGBULD,VUAFAIYJ,677253
AANGBULD,KJNSOAHR,10961329
AANGBULD,ZXERAXWP,63150
AANGBULD,XIIEJNEE,57958
AANGBULD,LLHREMKS,67680
AANGBULD,ELQGMQWE,510054
AANGBULD,OXKURKXR,125748
AANGBULD,EVBVXETX,5636975
AANGBULD,DNMPSKTB,5014965
AANGBULD,LTOYKIML,374445
AANGBULD,DDEXPPXU,37571
AANGBULD,UQYUIVVR,4621593
AANGBULD,APQGTRMF,55562
AANGBULD,ZGJXVMNI,3056885
AANGBULD,SDWAYPIK,4990642
AANGBULD,NZKBIBNU,256075
AANGBULD,RJGPVEXX,530930
AANGBULD,LSOIUSXD,207379
AANGBULD,SAAYMURU,59912
AANGBULD,FITUEHWN,71597
AANGBULD,WPQXWHYO,9850564
AANGBULD,FWUCPMMW,38352
AANGBULD,FQCLOEXA,1906418
AANGBULD,LUENUFGA,3399239
AANGBULD,XIPPENFQ,112261
AANGBULD,DBWLZWNK,223241
AANGBULD,MBSBZBXA,4290528
AHMDUILJ,UXSPKBJR,447060
AHMDUILJ,KAGJCHMR,42233
AHMDUILJ,ATLDMDBO,33255503
AHMDUILJ,DUCMGGNW,1015716
AHMDUILJ,BUZIIBYG,14446282
AHMDUILJ,LRVGFDFM,18748330
AHMDUILJ,XIIEJNEE,57958
AHMDUILJ,RAWUKQMJ,4024372
AHMDUILJ,WPQXWHYO,9850564
AHMDUILJ,QRKRBYJL,2343206
AHMDUILJ,APQGTRMF,53722
AHMDUILJ,XUOIQPFL,2740118
AHMDUILJ,QVLMOEYE,1165510
AHMDUILJ,BSRMSVTC,291984
AHMDUILJ,JERHKLYW,41043
AHMDUILJ,YSYHGLQK,39412
AHMDUILJ,BTMOEMEP,13793803
AHMDUILJ,VBYCLTYZ,483749
AHMDUILJ,SAHWCZNH,1791695
AHMDUILJ,WBLJNPZQ,235477
AHMDUILJ,ROACSLMG,1997921
AHMDUILJ,KEUWZRKO,320275
AHMDUILJ,RCBZUSIM,38940
AHMDUILJ,HXYSSRXE,5081970
AHMDUILJ,JPBRUTWP,5171334
AHMDUILJ,WQMVCOEM,58539
AHMDUILJ,RJGPVEXX,530930
AHMDUILJ,IGDVVKUD,37571
AHMDUILJ,AXULOHBQ,76050
AHMDUILJ,XIFHSOWQ,68865
AHMDUILJ,FTSVTTSR,193464
AHMDUILJ,SAAYMURU,61752
AHMDUILJ,TGOELCAG,233887
AHMDUILJ,CCLHWFWF,24146078
AHMDUILJ,DBWLZWNK,221400
AHMDUILJ,BLANHGYY,54845
AHMDUILJ,DEWLVASR,339316
APQGTRMF,OKMBFVKS,1703673
APQGTRMF,RCBZUSIM,38940
APQGTRMF,UIFPPCLR,81161
APQGTRMF,QRKRBYJL,2343206
APQGTRMF,QVLMOEYE,1165510
APQGTRMF,DNMPSKTB,5014965
APQGTRMF,ATLDMDBO,33255503
APQGTRMF,GYHKIVQT,21215168
APQGTRMF,WHPUAOID,40393
APQGTRMF,JPBRUTWP,5171334
APQGTRMF,VMAQSTJE,56526
APQGTRMF,BTMOEMEP,13793803
APQGTRMF,BEZYMBBT,3736526
APQGTRMF,RAWUKQMJ,4024372
APQGTRMF,DUCMGGNW,1015716
APQGTRMF,HXYSSRXE,5081970
APQGTRMF,YSYHGLQK,37571
APQGTRMF,OXKURKXR,123908
APQGTRMF,WBLJNPZQ,235477
APQGTRMF,DBWLZWNK,221400
APQGTRMF,XUOIQPFL,2740118
APQGTRMF,OGAFEHLU,42001
APQGTRMF,DJBLNPNC,37571
APQGTRMF,SAHWCZNH,1789854
APQGTRMF,SDWAYPIK,4993746
APQGTRMF,KEUWZRKO,318435
APQGTRMF,BSRMSVTC,290144
APQGTRMF,QKXNTIIB,2509689
APQGTRMF,FDXPMYGF,39560
APQGTRMF,AXULOHBQ,76050
APQGTRMF,LPHPPJUG,1280235
APQGTRMF,AANGBULD,350139
APQGTRMF,ZGJXVMNI,3056885
APQGTRMF,VBYCLTYZ,483749
APQGTRMF,DEWLVASR,339316
APQGTRMF,SNHYOVBM,358217
APQGTRMF,WQMVCOEM,58539
