leading_item_id,following_item_id,value
AANGBULD,APQGTRMF,87837
AANGBULD,BEZYMBBT,3188076
AANGBULD,DDEXPPXU,6315
AANGBULD,DEWLVASR,341937
AANGBULD,DNMPSKTB,4463589
AANGBULD,EVBVXETX,5379531
AANGBULD,FTSVTTSR,169014
AANGBULD,GKQIJYDH,6975235
AANGBULD,KJNSOAHR,10469677
AANGBULD,LLHREMKS,73250
AANGBULD,LSOIUSXD,177113
AANGBULD,LTOYKIML,377038
AANGBULD,NAQIHUKZ,1588
AANGBULD,NZKBIBNU,287613
AANGBULD,OKMBFVKS,1836133
AANGBULD,OXKURKXR,121944
AANGBULD,UIFPPCLR,75747
AANGBULD,UQYUIVVR,3851523
AANGBULD,VUAFAIYJ,386582
AANGBULD,ZCELVYQU,230181
AANGBULD,ZKENOUDA,368090
AHMDUILJ,APQGTRMF,87837
AHMDUILJ,ATLDMDBO,48410158
AHMDUILJ,BSRMSVTC,245942
AHMDUILJ,BUZIIBYG,16877830
AHMDUILJ,DUCMGGNW,348759
AHMDUILJ,HXYSSRXE,5665144
AHMDUILJ,JERHKLYW,8381
AHMDUILJ,KEUWZRKO,345750
AHMDUILJ,LRVGFDFM,6892222
AHMDUILJ,QRKRBYJL,4099886
AHMDUILJ,RAWUKQMJ,4052100
AHMDUILJ,SAHWCZNH,5111533
AHMDUILJ,UXSPKBJR,453214
AHMDUILJ,WPQXWHYO,9877179
AHMDUILJ,WQMVCOEM,27903
AHMDUILJ,XIIEJNEE,291773
AHMDUILJ,YSYHGLQK,6974
APQGTRMF,ATLDMDBO,48410158
APQGTRMF,AXULOHBQ,61578
APQGTRMF,BEZYMBBT,3188076
APQGTRMF,BSRMSVTC,245942
APQGTRMF,BTMOEMEP,14143625
APQGTRMF,DBWLZWNK,287122
APQGTRMF,DEWLVASR,341937
APQGTRMF,DJBLNPNC,1740
APQGTRMF,DNMPSKTB,4463589
APQGTRMF,DUCMGGNW,348759
APQGTRMF,FDXPMYGF,4060
APQGTRMF,FQCLOEXA,1982877
APQGTRMF,GYHKIVQT,17687565
APQGTRMF,HXYSSRXE,5665144
APQGTRMF,JPBRUTWP,4733959
APQGTRMF,KJNSOAHR,10469677
APQGTRMF,MBSBZBXA,3611887
APQGTRMF,OGAFEHLU,7150
APQGTRMF,OKMBFVKS,1840001
APQGTRMF,OXKURKXR,121944
APQGTRMF,QRKRBYJL,4099886
APQGTRMF,QVLMOEYE,1221874
APQGTRMF,RAWUKQMJ,4052100
APQGTRMF,RCBZUSIM,6696
APQGTRMF,ROACSLMG,2114790
APQGTRMF,SDWAYPIK,4863741
APQGTRMF,UIFPPCLR,75747
APQGTRMF,VMAQSTJE,56250
APQGTRMF,WBLJNPZQ,126722
APQGTRMF,WHPUAOID,98327
APQGTRMF,XUOIQPFL,1955216
APQGTRMF,YSYHGLQK,6970
APQGTRMF,ZGJXVMNI,2342278
ATLDMDBO,APQGTRMF,87837
ATLDMDBO,AXULOHBQ,61634
ATLDMDBO,BEZYMBBT,3188076
ATLDMDBO,BJALXPFS,132345
ATLDMDBO,BLANHGYY,81414
ATLDMDBO,BTMOEMEP,14143625
ATLDMDBO,DBWLZWNK,287122
ATLDMDBO,DEWLVASR,341937
ATLDMDBO,DJBLNPNC,1740
ATLDMDBO,DNMPSKTB,4463589
ATLDMDBO,EVBVXETX,5379531
ATLDMDBO,FDXPMYGF,4060
ATLDMDBO,FQCLOEXA,1982877
ATLDMDBO,GYHKIVQT,17687565
ATLDMDBO,HXYSSRXE,5665144
ATLDMDBO,IGDVVKUD,9466
ATLDMDBO,JERHKLYW,8388
ATLDMDBO,JPBRUTWP,4733959
ATLDMDBO,LPHPPJUG,1376414
ATLDMDBO,LRVGFDFM,6892222
ATLDMDBO,OGAFEHLU,7150
ATLDMDBO,OKMBFVKS,1835381
ATLDMDBO,OXKURKXR,121843
ATLDMDBO,QRKRBYJL,4099886
ATLDMDBO,QVLMOEYE,1221874
ATLDMDBO,RAWUKQMJ,4052100
ATLDMDBO,RCBZUSIM,6758
ATLDMDBO,SDWAYPIK,4865629
ATLDMDBO,UGEQLMXM,175988
ATLDMDBO,UIFPPCLR,75747
ATLDMDBO,UXSPKBJR,453214
ATLDMDBO,VBYCLTYZ,459411
ATLDMDBO,XIIEJNEE,291773
ATLDMDBO,XUOIQPFL,1955216
ATLDMDBO,ZGJXVMNI,2342278
ATLDMDBO,ZKENOUDA,368090
AXULOHBQ,BJALXPFS,132345
AXULOHBQ,BLANHGYY,81423
AXULOHBQ,BSRMSVTC,245942
AXULOHBQ,DNMPSKTB,4463589
AXULOHBQ,EVBVXETX,5379531
AXULOHBQ,FDXPMYGF,4058
AXULOHBQ,FQCLOEXA,1982877
AXULOHBQ,HCDTGMST,106294
AXULOHBQ,HXYSSRXE,5665144
AXULOHBQ,KEUWZRKO,345750
AXULOHBQ,LPHPPJUG,1376414
AXULOHBQ,LUENUFGA,5600617
AXULOHBQ,NZKBIBNU,287613
AXULOHBQ,OGAFEHLU,7150
AXULOHBQ,PYZMVUWD,5309
AXULOHBQ,RJGPVEXX,422404
AXULOHBQ,SAHWCZNH,5111533
AXULOHBQ,SUOYXCHP,6682
AXULOHBQ,UXSPKBJR,452618
AXULOHBQ,VMAQSTJE,56250
AXULOHBQ,WBLJNPZQ,126722
AXULOHBQ,WPQXWHYO,9877179
AXULOHBQ,WQMVCOEM,27903
AXULOHBQ,XIFHSOWQ,74272
AXULOHBQ,XUOIQPFL,1955216
AXULOHBQ,ZGJXVMNI,2342278
BEZYMBBT,AHMDUILJ,130772
BEZYMBBT,APQGTRMF,87837
BEZYMBBT,ATLDMDBO,48410158
BEZYMBBT,DBWLZWNK,287122
BEZYMBBT,ELQGMQWE,414128
BEZYMBBT,FITUEHWN,106717
BEZYMBBT,GYHKIVQT,17687565
BEZYMBBT,HXYSSRXE,5665144
BEZYMBBT,IGDVVKUD,9466
BEZYMBBT,JPBRUTWP,4733959
BEZYMBBT,KJNSOAHR,10469677
BEZYMBBT,OJIFIHMZ,1327046
